Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.18,5.31,5.18,5.31,4.165067,3799800
2019-01-03,5.33,5.37,5.28,5.33,4.180754,4583600
2019-01-04,5.47,5.57,5.45,5.54,4.345474,4078400
2019-01-07,5.54,5.62,5.5,5.55,4.353318,4206300
2019-01-08,5.62,5.62,5.55,5.6,4.392537,2190700
2019-01-09,5.72,5.75,5.65,5.7,4.470975,3218800
2019-01-10,5.7,5.77,5.7,5.76,4.518038,3565100
2019-01-11,5.74,5.84,5.73,5.79,4.541569,10369000
2019-01-14,5.68,5.84,5.67,5.79,4.541569,6021400
2019-01-15,5.69,5.76,5.68,5.76,4.518038,5144100
2019-01-16,5.8,5.88,5.77,5.86,4.596477,3628500
2019-01-17,5.79,5.84,5.74,5.79,4.541569,4043700
2019-01-18,5.92,5.98,5.88,5.95,4.66707,4240200
2019-01-22,5.88,5.91,5.86,5.9,4.627852,4892000
2019-01-23,5.97,6.0,5.94,5.99,4.698445,3911800
2019-01-24,5.93,5.95,5.87,5.93,4.651383,3311700
2019-01-25,5.99,6.11,5.99,6.1,4.784728,4431700
2019-01-28,6.01,6.09,6.0,6.07,4.761197,4120800
2019-01-29,6.03,6.05,6.0,6.02,4.721977,2250100
2019-01-30,6.04,6.11,6.0,6.07,4.761197,1785000
2019-01-31,5.88,5.99,5.87,5.97,4.682758,3468600
2019-02-01,5.92,6.0,5.88,5.96,4.674914,3438600
2019-02-04,5.91,6.0,5.86,5.97,4.682758,3416200
2019-02-05,5.96,6.0,5.92,6.0,4.706289,2009400
2019-02-06,5.95,6.0,5.94,5.96,4.674914,2449000
2019-02-07,5.88,5.88,5.77,5.8,4.549414,3012600
2019-02-08,5.77,5.8,5.7,5.79,4.541569,2636600
2019-02-11,5.82,5.82,5.77,5.78,4.533726,1622100
2019-02-12,5.86,5.91,5.86,5.9,4.627852,6349300
2019-02-13,5.85,5.85,5.76,5.78,4.533726,2084700
2019-02-14,5.69,5.76,5.67,5.72,4.486663,2202300
2019-02-15,5.82,5.9,5.8,5.89,4.620008,3264100
2019-02-19,5.85,5.94,5.83,5.9,4.627852,1631700
2019-02-20,5.91,6.02,5.9,5.98,4.690601,4885800
2019-02-21,5.95,5.96,5.87,5.89,4.620008,3128000
2019-02-22,5.95,5.98,5.93,5.95,4.66707,2103900
2019-02-25,5.99,6.01,5.94,5.96,4.674914,2128900
2019-02-26,5.93,6.0,5.93,5.97,4.682758,1660900
2019-02-27,6.08,6.14,6.08,6.13,4.808259,2892600
2019-02-28,6.2,6.24,6.17,6.18,4.847478,3592400
2019-03-01,6.2,6.25,6.09,6.15,4.823947,3708900
2019-03-04,6.07,6.08,5.99,6.05,4.745509,3597300
2019-03-05,6.01,6.05,5.95,6.01,4.714134,3165000
2019-03-06,6.1,6.12,6.05,6.07,4.761197,2236500
2019-03-07,5.92,5.93,5.79,5.81,4.557257,4152100
