Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,7.4,7.62,7.4,7.6,6.452321,4504100
2019-01-03,7.61,7.65,7.52,7.57,6.426851,2911500
2019-01-04,7.85,7.91,7.79,7.88,6.690038,2985800
2019-01-07,7.89,7.99,7.85,7.96,6.757957,3045500
2019-01-08,8.05,8.07,7.95,8.01,6.800406,2109400
2019-01-09,8.0,8.02,7.93,8.01,6.800406,2807700
2019-01-10,8.0,8.13,8.0,8.11,6.885304,2047200
2019-01-11,7.99,8.13,7.97,8.11,6.885304,5464600
2019-01-14,8.07,8.3,8.06,8.26,7.012654,4804400
2019-01-15,8.12,8.24,8.01,8.22,6.978695,5605400
2019-01-16,8.24,8.39,8.23,8.35,7.089063,4512000
2019-01-17,8.28,8.43,8.23,8.37,7.106042,3196300
2019-01-18,8.55,8.59,8.49,8.57,7.27584,2832100
2019-01-22,8.39,8.47,8.38,8.41,7.140002,2498100
2019-01-23,8.49,8.52,8.45,8.51,7.224901,1569100
2019-01-24,8.44,8.5,8.39,8.48,7.19943,2445000
2019-01-25,8.56,8.69,8.56,8.62,7.31829,2424200
2019-01-28,8.37,8.51,8.37,8.47,7.190942,4225400
2019-01-29,8.49,8.57,8.45,8.46,7.182451,2791100
2019-01-30,8.46,8.55,8.42,8.48,7.19943,1937000
2019-01-31,8.27,8.37,8.21,8.36,7.097552,4055400
2019-02-01,8.25,8.35,8.23,8.27,7.021143,4621500
2019-02-04,8.26,8.32,8.25,8.31,7.055102,1541700
2019-02-05,8.33,8.37,8.28,8.34,7.080573,1930100
2019-02-06,8.31,8.39,8.3,8.34,7.080573,2133600
2019-02-07,8.27,8.29,8.13,8.15,6.919264,2561300
2019-02-08,8.11,8.13,8.01,8.13,6.902285,2898200
2019-02-11,8.09,8.13,8.02,8.05,6.834366,2586400
2019-02-12,8.11,8.19,8.11,8.13,6.902285,1937900
2019-02-13,8.16,8.19,8.1,8.1,6.876815,1490100
2019-02-14,8.03,8.09,8.0,8.05,6.834366,1730300
2019-02-15,8.13,8.22,8.12,8.19,6.953224,1670200
2019-02-19,8.19,8.33,8.18,8.3,7.046614,4247400
2019-02-20,8.34,8.43,8.31,8.39,7.123023,3686700
2019-02-21,8.41,8.44,8.32,8.37,7.106042,2743200
2019-02-22,8.22,8.22,8.11,8.16,6.927754,3288400
2019-02-25,8.23,8.35,8.22,8.27,7.021143,2582500
2019-02-26,8.61,8.74,8.58,8.65,7.343758,4027700
2019-02-27,8.88,8.97,8.85,8.92,7.572986,5661100
2019-02-28,8.71,8.8,8.63,8.66,7.528649,3895300
2019-03-01,8.61,8.7,8.52,8.56,7.441713,3096400
2019-03-04,8.65,8.7,8.55,8.6,7.476487,2474200
2019-03-05,8.61,8.7,8.54,8.69,7.554729,3854600
2019-03-06,8.71,8.72,8.59,8.62,7.493875,3761500
2019-03-07,8.52,8.52,8.35,8.42,7.320003,6343500
2019-03-08,8.22,8.29,8.21,8.29,7.206986,3458900
2019-03-11,8.31,8.45,8.3,8.43,7.328697,3429100
2019-03-12,8.55,8.57,8.48,8.51,7.398245,3540600
2019-03-13,8.62,8.69,8.59,8.66,7.528649,3453900
2019-03-14,8.74,8.75,8.69,8.7,7.563423,1834800
2019-03-15,8.72,8.81,8.71,8.77,7.624279,2172600
2019-03-18,8.75,8.8,8.72,8.77,7.624279,2673200
2019-03-19,8.93,8.95,8.82,8.84,7.685134,3768800
2019-03-20,8.76,8.77,8.58,8.6,7.476487,4899700
2019-03-21,8.43,8.45,8.32,8.37,7.276535,4153200
2019-03-22,8.23,8.26,8.13,8.17,7.102664,3994300
2019-03-25,8.18,8.23,8.09,8.13,7.067889,3317600
2019-03-26,8.13,8.17,8.07,8.12,7.059196,3190500
2019-03-27,8.28,8.32,8.16,8.23,7.154824,3563300
2019-03-28,8.06,8.08,7.97,8.02,6.97226,4592100
2019-03-29,8.06,8.07,7.93,8.0,6.954872,4050500
2019-04-01,8.22,8.34,8.2,8.31,7.224373,3773000
2019-04-02,8.33,8.41,8.3,8.39,7.293922,3579600
2019-04-03,8.56,8.63,8.55,8.59,7.467794,4129100
