Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,49.509998,50.48,49.380001,50.290001,39.403027,788900
2019-01-03,50.290001,50.459999,49.709999,50.310001,39.418713,836300
2019-01-04,51.0,51.290001,50.709999,51.18,40.100372,720900
2019-01-07,51.509998,51.830002,51.25,51.700001,40.507793,861700
2019-01-08,52.07,52.279999,51.52,52.16,40.868214,689600
2019-01-09,52.470001,53.389999,52.369999,53.360001,41.808422,1424800
2019-01-10,53.200001,53.810001,52.970001,53.77,42.129669,870700
2019-01-11,53.59,53.799999,53.34,53.77,42.129669,598900
2019-01-14,53.59,54.029999,53.549999,53.619999,42.012146,581400
2019-01-15,53.740002,54.009998,53.380001,53.959999,42.278545,485300
2019-01-16,54.240002,54.759998,54.049999,54.52,42.717304,583200
2019-01-17,54.209999,55.259998,54.18,55.099998,43.171734,731700
2019-01-18,55.59,55.790001,55.18,55.240002,43.281445,708900
2019-01-22,54.959999,55.259998,54.720001,55.25,43.289272,701500
2019-01-23,55.369999,55.450001,54.709999,54.970001,43.069889,786700
2019-01-24,54.939999,55.139999,54.630001,55.049999,43.132568,592000
2019-01-25,55.549999,55.689999,55.25,55.619999,43.57917,550100
2019-01-28,55.18,55.68,55.16,55.68,43.626183,421500
2019-01-29,55.669998,56.220001,55.669998,56.080002,43.939594,544000
2019-01-30,56.43,56.919998,56.27,56.66,44.394032,490000
2019-01-31,56.549999,57.0,56.5,56.939999,44.613411,906700
2019-02-01,56.990002,57.0,56.41,56.41,44.198154,626900
2019-02-04,56.48,56.709999,56.259998,56.650002,44.386196,549700
2019-02-05,56.669998,56.799999,56.299999,56.779999,44.488049,499500
2019-02-06,56.610001,56.900002,56.48,56.549999,44.307842,588600
2019-02-07,56.299999,56.389999,55.900002,56.25,44.072788,565000
2019-02-08,56.169998,56.380001,55.630001,56.130001,43.978771,589300
2019-02-11,56.220001,56.27,55.709999,55.98,43.861244,878800
2019-02-12,56.369999,56.470001,56.23,56.349998,44.151134,779400
2019-02-13,56.470001,56.59,56.25,56.290001,44.10413,444900
2019-02-14,55.959999,56.049999,55.509998,55.939999,43.829903,1102800
2019-02-15,56.200001,56.59,56.119999,56.470001,44.245174,981700
2019-02-19,56.290001,56.75,56.09,56.650002,44.386196,1015800
2019-02-20,56.740002,57.57,56.709999,57.41,44.98167,642800
2019-02-21,57.259998,57.470001,56.959999,57.099998,44.738777,631700
2019-02-22,57.23,57.400002,57.09,57.349998,44.93465,511400
2019-02-25,57.509998,57.619999,57.150002,57.18,44.801456,959700
2019-02-26,55.490002,55.93,55.07,55.509998,43.492981,1432200
2019-02-27,55.639999,55.700001,55.240002,55.310001,43.336285,1011900
2019-02-28,55.02,55.630001,54.900002,55.560001,43.532158,1324500
2019-03-01,55.650002,55.73,54.580002,54.630001,42.80349,1289000
2019-03-04,54.77,55.040001,54.509998,54.689999,42.85051,837500
2019-03-05,54.709999,54.709999,54.009998,54.259998,42.513592,915000
2019-03-06,54.130001,54.389999,54.0,54.09,42.380394,928600
2019-03-07,54.099998,54.220001,53.57,53.740002,42.106159,1207200
2019-03-08,53.610001,54.130001,53.279999,53.900002,42.231525,974800
2019-03-11,53.93,54.299999,53.759998,54.16,42.435234,867700
2019-03-12,54.369999,54.560001,54.080002,54.509998,42.709469,652800
2019-03-13,54.740002,54.869999,54.560001,54.759998,42.90535,550900
2019-03-14,54.689999,54.799999,54.43,54.639999,42.811333,559200
2019-03-15,54.810001,55.029999,54.630001,54.779999,42.921017,651300
2019-03-18,54.799999,55.200001,54.68,55.189999,43.24226,571000
2019-03-19,55.509998,55.73,55.099998,55.220001,43.26577,609200
