Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,40.369999,40.91,40.25,40.880001,32.892673,2565000
2019-01-03,40.529999,40.77,40.290001,40.43,32.53059,1479400
2019-01-04,41.330002,41.849998,41.259998,41.610001,33.480034,3060900
2019-01-07,41.040001,41.259998,40.860001,41.049999,33.029449,2212300
2019-01-08,41.509998,41.57,40.950001,41.16,33.117958,2888300
2019-01-09,41.459999,41.57,41.130001,41.439999,33.343246,2733700
2019-01-10,41.130001,41.66,41.099998,41.529999,33.415665,1690600
2019-01-11,41.290001,41.66,41.209999,41.419998,33.327156,2055900
2019-01-14,40.91,41.32,40.889999,40.98,32.973129,2763000
2019-01-15,40.950001,41.259998,40.810001,41.220001,33.166237,1962600
2019-01-16,41.43,41.790001,41.400002,41.540001,33.42371,1480500
2019-01-17,41.150002,41.540001,41.139999,41.490002,33.38348,1632500
2019-01-18,42.040001,42.099998,41.799999,41.919998,33.729469,1600300
2019-01-22,41.41,41.57,41.25,41.380001,33.294979,2288100
2019-01-23,41.700001,41.75,41.439999,41.639999,33.504173,1219900
2019-01-24,41.169998,41.470001,41.169998,41.41,33.319107,1410300
2019-01-25,41.869999,42.049999,41.759998,41.860001,33.681194,1606200
2019-01-28,41.529999,41.689999,41.439999,41.619999,33.488079,1331300
2019-01-29,42.200001,42.349998,42.040001,42.080002,33.858208,1605200
2019-01-30,42.57,42.68,42.32,42.48,34.18005,1879800
2019-01-31,41.900002,42.139999,41.779999,42.130001,33.898441,1925700
2019-02-01,41.580002,41.950001,41.529999,41.709999,33.560493,1496700
2019-02-04,41.77,41.990002,41.720001,41.970001,33.769699,1492500
2019-02-05,42.169998,42.369999,42.09,42.34,34.067406,901900
2019-02-06,42.220001,42.369999,42.049999,42.099998,33.874298,1242000
2019-02-07,42.0,42.099998,41.610001,41.82,33.649014,1048200
2019-02-08,41.599998,41.75,41.459999,41.75,33.592678,974000
2019-02-11,41.810001,41.919998,41.650002,41.68,33.536358,1515900
2019-02-12,42.029999,42.16,41.970001,42.099998,33.874298,1085800
2019-02-13,42.549999,42.68,42.299999,42.330002,34.059368,1592400
2019-02-14,42.240002,42.529999,42.130001,42.369999,34.091537,2038700
2019-02-15,42.790001,42.919998,42.650002,42.799999,34.437531,1562100
2019-02-19,41.16,41.549999,40.93,41.52,33.407619,6951900
2019-02-20,41.84,42.220001,41.77,42.130001,33.898441,3107900
2019-02-21,40.950001,40.959999,40.66,40.810001,33.67564,2306100
2019-02-22,40.720001,40.77,40.599998,40.709999,33.593124,1601300
2019-02-25,40.66,40.759998,40.529999,40.59,33.494099,1952800
2019-02-26,40.540001,40.849998,40.52,40.759998,33.634373,1667600
2019-02-27,40.98,41.189999,40.939999,41.130001,33.939697,1823800
2019-02-28,40.869999,41.150002,40.779999,40.830002,33.692139,2357400
2019-03-01,40.77,40.950001,40.490002,40.610001,33.510605,2006400
2019-03-04,40.700001,40.790001,40.509998,40.68,33.568363,2050100
2019-03-05,40.880001,41.119999,40.810001,41.0,33.83242,1677900
2019-03-06,41.080002,41.139999,40.919998,40.970001,33.807667,1071500
2019-03-07,40.939999,40.970001,40.689999,40.869999,33.725143,2177500
