Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,10.47,10.67,10.46,10.65,8.302273,5005200
2019-01-03,10.72,10.78,10.67,10.69,8.333456,3130200
2019-01-04,11.05,11.26,11.01,11.23,8.754416,3152300
2019-01-07,11.3,11.39,11.22,11.31,8.81678,2512600
2019-01-08,11.45,11.49,11.33,11.42,8.902533,4144700
2019-01-09,11.39,11.46,11.26,11.33,8.832372,2283300
2019-01-10,11.25,11.37,11.22,11.32,8.824576,1878500
2019-01-11,11.23,11.36,11.2,11.31,8.81678,2568000
2019-01-14,11.27,11.44,11.26,11.4,8.886941,2432700
2019-01-15,11.31,11.43,11.31,11.41,8.894736,2738700
2019-01-16,11.59,11.8,11.59,11.74,9.151991,2719100
2019-01-17,11.61,11.68,11.52,11.6,9.042852,2852200
2019-01-18,11.88,11.98,11.84,11.94,9.307902,2735400
2019-01-22,11.72,11.81,11.7,11.77,9.175378,2220800
2019-01-23,12.01,12.03,11.85,11.91,9.284516,2511300
2019-01-24,11.79,11.84,11.71,11.78,9.183173,5345400
2019-01-25,12.06,12.22,12.05,12.14,9.463813,2618100
2019-01-28,12.09,12.14,12.03,12.13,9.456017,3643400
2019-01-29,12.05,12.08,11.98,12.03,9.37806,2299800
2019-01-30,12.07,12.2,12.02,12.13,9.456017,1637900
2019-01-31,11.82,11.88,11.78,11.87,9.253334,2699600
2019-02-01,11.73,11.89,11.71,11.83,9.22215,2309600
2019-02-04,11.64,11.76,11.55,11.75,9.159787,2897100
2019-02-05,11.88,11.95,11.83,11.94,9.307902,2063500
2019-02-06,12.56,12.71,12.55,12.56,9.791226,9140700
2019-02-07,12.46,12.58,12.32,12.36,9.635315,3869900
2019-02-08,12.22,12.24,12.06,12.2,9.510585,3463700
2019-02-11,12.3,12.31,12.23,12.26,9.55736,1763700
2019-02-12,12.32,12.41,12.32,12.36,9.635315,2583700
2019-02-13,12.39,12.42,12.31,12.32,9.604132,1999000
2019-02-14,12.16,12.24,12.1,12.19,9.502791,2134300
2019-02-15,12.41,12.55,12.38,12.5,9.744452,2427100
2019-02-19,12.43,12.62,12.43,12.58,9.806818,1867800
2019-02-20,12.55,12.71,12.54,12.66,9.869183,2580000
2019-02-21,12.49,12.51,12.4,12.41,9.674292,2641600
2019-02-22,12.59,12.65,12.56,12.58,9.806818,2135000
2019-02-25,12.81,12.85,12.71,12.72,9.915956,2677600
2019-02-26,12.85,12.95,12.83,12.9,10.056275,2801000
2019-02-27,13.05,13.17,13.02,13.11,10.219982,2938400
2019-02-28,13.28,13.33,13.21,13.22,10.305734,3611300
2019-03-01,13.37,13.44,13.24,13.25,10.32912,4221300
