Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,12.93,13.13,12.88,13.07,9.711399,251700
2019-01-03,13.09,13.17,12.94,13.02,9.67425,197800
2019-01-04,13.49,13.85,13.46,13.79,10.246382,425600
2019-01-07,14.0,14.15,13.95,14.12,10.491581,320600
2019-01-08,13.97,14.02,13.77,13.93,10.350407,163000
2019-01-09,13.9,14.05,13.82,13.99,10.394987,182900
2019-01-10,13.84,14.12,13.82,14.04,10.432139,221600
2019-01-11,13.75,13.96,13.75,13.91,10.335545,595300
2019-01-14,13.63,13.85,13.63,13.76,10.224091,549100
2019-01-15,13.47,13.56,13.38,13.51,10.038333,227300
2019-01-16,13.74,13.97,13.74,13.94,10.357837,148800
2019-01-17,13.87,14.03,13.8,13.97,10.380127,254800
2019-01-18,13.98,14.03,13.84,13.98,10.387557,223200
2019-01-22,13.65,13.9,13.65,13.83,10.276102,418800
2019-01-23,14.01,14.1,13.86,13.97,10.380127,226900
2019-01-24,13.8,13.92,13.76,13.86,10.298392,292100
2019-01-25,13.92,14.21,13.92,14.13,10.499011,213100
2019-01-28,14.04,14.19,14.0,14.16,10.521302,770400
2019-01-29,14.1,14.17,14.05,14.08,10.46186,316900
2019-01-30,14.07,14.38,14.0,14.33,10.647616,126600
2019-01-31,13.61,13.87,13.61,13.83,10.276102,263200
2019-02-01,13.52,13.62,13.44,13.52,10.045764,153400
2019-02-04,13.4,13.61,13.35,13.53,10.053194,215500
2019-02-05,13.54,13.76,13.52,13.71,10.186939,186500
2019-02-06,13.94,14.03,13.91,13.96,10.372698,192600
2019-02-07,13.7,13.76,13.51,13.58,10.090344,103400
2019-02-08,13.47,13.57,13.32,13.53,10.053194,111300
2019-02-11,13.58,13.68,13.53,13.55,10.068054,218500
2019-02-12,13.67,13.75,13.62,13.73,10.201799,86700
2019-02-13,13.66,13.72,13.59,13.61,10.112636,85900
2019-02-14,13.53,13.63,13.39,13.51,10.038333,132200
2019-02-15,13.77,13.93,13.77,13.93,10.350407,110300
2019-02-19,13.8,14.11,13.8,14.09,10.469291,110200
2019-02-20,13.95,14.13,13.92,14.08,10.46186,94100
2019-02-21,13.91,13.97,13.79,13.83,10.276102,109700
2019-02-22,13.87,13.97,13.86,13.91,10.335545,90900
2019-02-25,14.15,14.28,14.15,14.17,10.528733,118300
2019-02-26,14.14,14.26,14.14,14.21,10.558455,175500
2019-02-27,14.49,14.65,14.49,14.56,10.818515,96600
2019-02-28,14.85,14.91,14.71,14.71,10.929968,104700
2019-03-01,14.83,14.89,14.69,14.79,10.989412,210500
2019-03-04,14.72,14.79,14.6,14.65,10.885386,500200
2019-03-05,14.64,14.69,14.54,14.65,10.885386,203700
2019-03-06,14.77,14.82,14.7,14.79,10.989412,108500
2019-03-07,14.51,14.52,14.21,14.27,10.603036,101700
2019-03-08,14.15,14.39,14.15,14.36,10.669908,113800
2019-03-11,14.37,14.51,14.35,14.47,10.751642,61000
2019-03-12,14.48,14.56,14.41,14.47,10.751642,224100
2019-03-13,14.5,14.74,14.5,14.7,10.922539,111200
2019-03-14,14.7,14.83,14.68,14.76,10.96712,90600
2019-03-15,14.84,14.97,14.79,14.92,11.086005,107100
2019-03-18,15.27,15.33,15.16,15.26,11.338635,53300
2019-03-19,15.37,15.38,15.09,15.15,11.256902,88100
2019-03-20,15.28,15.46,15.16,15.29,11.360927,120900
2019-03-21,15.19,15.27,15.1,15.2,11.294053,92600
2019-03-22,14.56,14.75,14.46,14.64,10.877957,65700
2019-03-25,14.65,14.65,14.48,14.61,10.855666,76100
2019-03-26,14.46,14.58,14.46,14.54,10.803653,171900
2019-03-27,14.74,14.84,14.53,14.72,10.937399,97200
2019-03-28,14.45,14.68,14.45,14.64,10.877957,79700
2019-03-29,14.63,14.72,14.56,14.69,10.915107,74000
2019-04-01,14.76,15.9,14.76,14.87,11.048854,131100
2019-04-02,14.72,14.93,14.68,14.9,11.071143,86400
2019-04-03,14.94,15.04,14.93,14.98,11.130587,84200
2019-04-04,14.98,15.12,14.96,15.07,11.19746,134000
2019-04-05,15.02,15.12,14.98,15.07,11.19746,72100
2019-04-08,15.1,15.18,15.05,15.13,11.242041,62100
2019-04-09,15.11,15.18,15.06,15.09,11.212321,150600
2019-04-10,15.06,15.12,14.97,15.07,11.19746,113100
2019-04-11,15.18,15.25,15.04,15.09,11.212321,69900
2019-04-12,15.61,15.68,15.43,15.44,11.472381,86800
2019-04-15,15.65,15.65,15.57,15.6,11.591267,94000
2019-04-16,15.79,15.86,15.68,15.72,11.680429,311500
2019-04-17,15.95,16.0,15.87,15.93,11.836466,189300
2019-04-18,15.75,15.92,15.68,15.77,11.71758,196800
2019-04-22,15.78,15.8,15.73,15.78,11.725011,53800
2019-04-23,15.56,15.67,15.49,15.6,11.591267,72100
2019-04-24,15.28,15.28,15.13,15.17,11.271763,77500
2019-04-25,15.13,15.3,15.1,15.19,11.286623,89600
2019-04-26,15.24,15.34,15.18,15.24,11.323775,66500
2019-04-29,15.53,15.65,15.53,15.62,11.606126,73100
2019-04-30,15.69,15.78,15.6,15.73,11.68786,75800
2019-05-01,15.66,15.82,15.65,15.65,11.628416,115100
2019-05-02,15.63,15.69,15.49,15.58,11.576406,78100
2019-05-03,15.55,15.65,15.43,15.63,11.613556,97800
2019-05-06,15.21,15.47,15.21,15.4,11.442658,87900
2019-05-07,15.02,15.06,14.86,14.93,11.093435,60500
2019-05-08,14.88,14.96,14.81,14.89,11.063715,241600
2019-05-09,14.53,14.75,14.43,14.68,10.907679,208300
2019-05-10,14.56,14.75,14.5,14.62,10.863096,96700
2019-05-13,14.37,14.37,14.16,14.16,10.521302,80900
2019-05-14,14.2,14.53,14.1,14.51,10.781363,113200
2019-05-15,14.15,14.4,14.1,14.31,10.632757,62300
2019-05-16,14.43,14.63,14.42,14.62,10.863096,87700
2019-05-17,14.45,14.84,14.45,14.72,10.937399,481600
2019-05-20,13.25,13.4,13.21,13.25,10.831132,125300
2019-05-21,13.1,13.3,13.09,13.23,10.814783,172000
2019-05-22,13.02,13.1,12.95,12.95,10.585898,157300
2019-05-23,12.76,12.82,12.67,12.68,10.36519,123100
2019-05-24,13.0,13.0,12.86,12.91,10.553201,121200
2019-05-28,12.65,12.67,12.5,12.52,10.234398,134700
2019-05-29,12.49,12.52,12.36,12.4,10.136304,1804800
