Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,4.78,4.99,4.78,4.96,4.96,1245000
2019-01-03,4.89,4.95,4.88,4.9,4.9,1741800
2019-01-04,4.97,5.17,4.97,5.15,5.15,1624200
2019-01-07,5.1,5.14,5.05,5.11,5.11,1813800
2019-01-08,5.13,5.2,5.13,5.17,5.17,1648100
2019-01-09,5.17,5.17,5.12,5.15,5.15,938700
2019-01-10,5.17,5.26,5.17,5.23,5.23,2206300
2019-01-11,5.21,5.3,5.18,5.26,5.26,2951900
2019-01-14,5.21,5.29,5.2,5.26,5.26,2187500
2019-01-15,5.27,5.3,5.23,5.27,5.27,1658500
2019-01-16,5.3,5.3,5.24,5.25,5.25,1526800
2019-01-17,5.26,5.31,5.22,5.27,5.27,1987100
2019-01-18,5.26,5.34,5.26,5.3,5.3,2977600
2019-01-22,5.27,5.32,5.25,5.26,5.26,2650200
2019-01-23,5.26,5.29,5.21,5.26,5.26,1259100
2019-01-24,5.28,5.36,5.27,5.33,5.33,1210800
2019-01-25,5.36,5.4,5.34,5.35,5.35,959000
2019-01-28,5.3,5.35,5.29,5.32,5.32,1778300
2019-01-29,5.32,5.36,5.3,5.31,5.31,1418600
2019-01-30,5.32,5.41,5.29,5.37,5.37,1533100
2019-01-31,5.35,5.38,5.32,5.38,5.38,1432300
2019-02-01,5.28,5.29,5.22,5.25,5.25,1591800
2019-02-04,5.27,5.31,5.24,5.31,5.31,822100
2019-02-05,5.3,5.31,5.27,5.29,5.29,822800
2019-02-06,5.29,5.32,5.29,5.29,5.29,606400
2019-02-07,5.24,5.26,5.21,5.23,5.23,1695800
2019-02-08,5.2,5.21,5.14,5.19,5.19,668800
2019-02-11,5.19,5.23,5.18,5.21,5.21,920300
2019-02-12,5.26,5.34,5.26,5.31,5.31,1202700
2019-02-13,5.29,5.3,5.24,5.26,5.26,616300
2019-02-14,5.22,5.25,5.18,5.22,5.22,702400
2019-02-15,5.24,5.29,5.23,5.29,5.29,965700
2019-02-19,5.31,5.36,5.29,5.34,5.34,632500
2019-02-20,5.34,5.36,5.32,5.33,5.33,1265200
2019-02-21,5.33,5.33,5.27,5.29,5.29,620900
2019-02-22,5.28,5.31,5.25,5.27,5.27,868100
2019-02-25,5.28,5.3,5.25,5.26,5.26,2371300
2019-02-26,5.23,5.26,5.22,5.24,5.24,1186400
2019-02-27,5.23,5.25,5.2,5.23,5.23,475100
2019-02-28,5.21,5.24,5.2,5.22,5.22,641200
2019-03-01,5.23,5.24,5.2,5.21,5.21,578300
2019-03-04,5.2,5.23,5.14,5.2,5.2,1433700
2019-03-05,5.21,5.27,5.19,5.23,5.23,1070300
2019-03-06,5.21,5.24,5.19,5.2,5.2,543700
2019-03-07,5.15,5.19,5.09,5.09,5.09,1128500
2019-03-08,5.02,5.06,5.02,5.06,5.06,1009600
2019-03-11,5.08,5.09,5.04,5.04,5.04,2033500
2019-03-12,5.12,5.13,5.07,5.11,5.11,1321100
2019-03-13,5.1,5.15,5.09,5.12,5.12,1043800
2019-03-14,5.08,5.12,5.08,5.1,5.1,878800
2019-03-15,5.15,5.18,5.11,5.17,5.17,3612800
2019-03-18,5.14,5.17,5.14,5.16,5.16,1133500
2019-03-19,5.21,5.23,5.18,5.19,5.19,2025000
2019-03-20,5.16,5.19,5.13,5.14,5.14,744800
