Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,6.45,6.71,6.44,6.7,6.7,1645200
2019-01-03,6.66,6.69,6.59,6.62,6.62,1919500
2019-01-04,6.75,7.02,6.74,6.97,6.97,2927700
2019-01-07,6.94,7.05,6.91,6.96,6.96,2353900
2019-01-08,6.99,7.04,6.94,6.99,6.99,1581700
2019-01-09,7.01,7.04,6.96,7.0,7.0,1140700
2019-01-10,7.0,7.15,7.0,7.09,7.09,1356700
2019-01-11,7.1,7.19,7.0,7.15,7.15,5643000
2019-01-14,7.12,7.2,7.08,7.16,7.16,3819600
2019-01-15,7.16,7.22,7.13,7.15,7.15,1775200
2019-01-16,7.17,7.19,7.14,7.15,7.15,1367300
2019-01-17,7.14,7.21,7.12,7.19,7.19,1669800
2019-01-18,7.2,7.29,7.19,7.24,7.24,2176000
2019-01-22,7.19,7.22,7.14,7.16,7.16,2900800
2019-01-23,7.2,7.25,7.14,7.21,7.21,1719800
2019-01-24,7.27,7.34,7.25,7.3,7.3,1443700
2019-01-25,7.37,7.41,7.35,7.36,7.36,1107100
2019-01-28,7.31,7.4,7.3,7.35,7.35,2852200
2019-01-29,7.41,7.45,7.37,7.37,7.37,1526300
2019-01-30,7.4,7.47,7.37,7.43,7.43,1488000
2019-01-31,7.43,7.49,7.4,7.44,7.44,1622100
2019-02-01,7.28,7.33,7.26,7.26,7.26,1449400
2019-02-04,7.26,7.29,7.21,7.28,7.28,909700
2019-02-05,7.26,7.27,7.24,7.24,7.24,1077500
2019-02-06,7.25,7.27,7.23,7.25,7.25,933300
2019-02-07,7.16,7.17,7.08,7.11,7.11,895000
2019-02-08,7.05,7.09,7.0,7.06,7.06,914800
2019-02-11,7.07,7.09,7.05,7.07,7.07,1180500
2019-02-12,7.15,7.21,7.13,7.18,7.18,1050800
2019-02-13,7.19,7.24,7.18,7.19,7.19,622000
2019-02-14,7.18,7.18,7.12,7.13,7.13,669000
2019-02-15,7.2,7.28,7.2,7.26,7.26,935200
2019-02-19,7.3,7.36,7.29,7.34,7.34,738900
2019-02-20,7.31,7.38,7.31,7.35,7.35,899400
2019-02-21,7.31,7.31,7.25,7.27,7.27,685600
2019-02-22,7.26,7.29,7.24,7.27,7.27,729300
2019-02-25,7.25,7.3,7.23,7.24,7.24,1005400
2019-02-26,7.2,7.27,7.2,7.22,7.22,817800
2019-02-27,7.2,7.22,7.16,7.2,7.2,925200
2019-02-28,7.16,7.2,7.13,7.14,7.14,913400
2019-03-01,7.19,7.2,7.14,7.14,7.14,837500
2019-03-04,7.17,7.18,7.06,7.1,7.1,1350500
2019-03-05,7.12,7.2,7.11,7.16,7.16,1503700
2019-03-06,7.15,7.16,7.09,7.1,7.1,1048100
2019-03-07,7.02,7.02,6.92,6.93,6.93,746800
2019-03-08,6.87,6.92,6.87,6.91,6.91,972000
2019-03-11,6.96,7.01,6.95,6.97,6.97,1497500
2019-03-12,7.01,7.02,6.98,7.0,7.0,1051600
2019-03-13,7.03,7.1,7.01,7.08,7.08,1074200
2019-03-14,7.06,7.1,7.02,7.07,7.07,718000
2019-03-15,7.12,7.17,7.11,7.14,7.14,968300
2019-03-18,7.15,7.21,7.15,7.2,7.2,702900
2019-03-19,7.25,7.29,7.21,7.22,7.22,1117100
2019-03-20,7.23,7.27,7.2,7.2,7.2,989800
2019-03-21,7.21,7.25,7.19,7.22,7.22,1177900
2019-03-22,7.21,7.22,7.09,7.09,7.09,1580200
2019-03-25,7.04,7.14,7.04,7.09,7.09,1395000
2019-03-26,7.16,7.23,7.16,7.2,7.2,1111900
2019-03-27,7.2,7.27,7.18,7.2,7.2,1037900
2019-03-28,7.08,7.1,7.05,7.1,7.1,844900
2019-03-29,7.05,7.07,7.01,7.03,7.03,927600
2019-04-01,7.11,7.21,7.11,7.2,7.2,1217700
2019-04-02,7.21,7.26,7.21,7.25,7.25,1046500
2019-04-03,7.28,7.31,7.25,7.27,7.27,1432200
2019-04-04,7.25,7.32,7.25,7.3,7.3,1145700
2019-04-05,7.3,7.31,7.27,7.28,7.28,598300
