Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,42.860001,44.450001,42.790001,44.389999,37.150108,4831900
2019-01-03,44.220001,44.790001,43.959999,44.09,36.899044,3530600
2019-01-04,44.869999,45.419998,44.700001,45.25,37.869846,3267200
2019-01-07,45.130001,46.040001,44.860001,45.610001,38.171127,3584400
2019-01-08,45.790001,45.959999,45.07,45.720001,38.263191,3389300
2019-01-09,45.84,46.290001,45.619999,46.150002,38.623066,5827000
2019-01-10,45.200001,46.139999,45.200001,45.860001,38.38036,6726800
2019-01-11,44.830002,45.759998,44.779999,45.610001,38.171127,11337100
2019-01-14,45.200001,46.349998,45.200001,46.150002,38.623066,9035300
2019-01-15,46.02,46.389999,45.540001,46.34,38.78207,6512500
2019-01-16,46.779999,47.849998,46.560001,47.540001,39.786358,7020000
2019-01-17,46.75,48.450001,46.549999,48.279999,40.405663,5811600
2019-01-18,48.490002,49.41,48.189999,49.290001,41.250935,5214600
2019-01-22,49.049999,49.610001,48.900002,49.139999,41.125404,6608300
2019-01-23,49.400002,49.68,49.220001,49.41,41.351368,6495900
2019-01-24,49.169998,49.459999,48.740002,49.25,41.217464,3664000
2019-01-25,49.299999,49.619999,48.970001,49.369999,41.317886,3910200
2019-01-28,49.02,49.459999,48.810001,49.27,41.234196,3229800
2019-01-29,49.130001,49.540001,49.130001,49.310001,41.26767,2724800
2019-01-30,49.400002,49.41,48.880001,48.98,40.991493,3808300
2019-01-31,48.66,48.869999,47.880001,48.799999,40.840847,4979300
2019-02-01,48.889999,49.110001,48.66,48.869999,40.899441,4353200
2019-02-04,48.900002,49.080002,48.630001,49.080002,41.075188,3290500
2019-02-05,49.029999,49.099998,48.450001,48.790001,40.832489,3264100
2019-02-06,48.669998,49.07,48.43,48.529999,40.614883,2566600
2019-02-07,51.009998,51.5,48.91,50.459999,42.230114,25599100
2019-02-08,50.459999,50.68,49.68,50.240002,42.045994,12227800
2019-02-11,50.450001,50.669998,50.189999,50.57,42.322166,7548100
2019-02-12,50.639999,51.139999,50.5,50.82,42.874767,6915200
2019-02-13,50.799999,51.040001,50.299999,50.459999,42.571053,6208400
2019-02-14,49.990002,50.0,49.330002,49.740002,41.963623,6103000
2019-02-15,50.259998,50.849998,50.150002,50.700001,42.773533,8069300
2019-02-19,50.470001,51.130001,50.02,51.110001,43.119427,6593500
2019-02-20,51.049999,51.799999,50.880001,51.779999,43.684681,7217200
2019-02-21,51.810001,52.080002,51.57,51.830002,43.726864,8042200
2019-02-22,51.919998,51.919998,51.299999,51.490002,43.440022,4479600
2019-02-25,51.77,51.880001,51.18,51.259998,43.245979,5089400
2019-02-26,51.060001,51.470001,50.580002,50.869999,42.91695,5448600
2019-02-27,50.950001,51.200001,50.650002,51.060001,43.077259,4456900
2019-02-28,51.18,51.27,50.810001,50.970001,43.001316,5026500
2019-03-01,51.0,51.939999,50.939999,51.799999,43.701557,8588100
2019-03-04,51.970001,52.450001,51.299999,51.830002,43.726864,6301600
2019-03-05,51.73,51.959999,50.919998,51.700001,43.617188,6038700
2019-03-06,51.509998,51.580002,50.380001,50.599998,42.689163,5301100
2019-03-07,50.220001,50.259998,49.299999,49.529999,41.786449,6541200
2019-03-08,49.16,49.599998,48.98,49.599998,41.845505,3446400
2019-03-11,49.720001,50.07,49.400002,49.919998,42.115475,3858000
2019-03-12,50.07,50.200001,49.450001,49.580002,41.828629,6432200
2019-03-13,49.709999,50.150002,49.32,50.0,42.182968,4905900
2019-03-14,50.080002,50.290001,49.830002,50.130001,42.292652,3081000
2019-03-15,50.02,50.400002,49.82,49.98,42.166096,7042000
2019-03-18,50.0,50.689999,49.98,50.48,42.587929,5047100
2019-03-19,50.68,50.82,49.43,49.48,41.744267,5042300
2019-03-20,49.34,49.490002,47.990002,48.02,40.512524,9284400
2019-03-21,47.68,47.759998,47.009998,47.139999,39.7701,6192400
2019-03-22,46.59,46.790001,45.02,45.09,38.040596,9014000
2019-03-25,45.200001,45.779999,44.509998,44.869999,37.855,6108000
2019-03-26,45.360001,45.849998,44.75,45.330002,38.243088,7744600
2019-03-27,45.119999,45.630001,44.84,45.400002,38.302139,12764200
2019-03-28,45.57,46.349998,45.43,46.310001,39.069878,7830000
2019-03-29,46.709999,46.889999,46.25,46.529999,39.255466,8284100
2019-04-01,46.880001,48.09,46.849998,48.02,40.512524,6699600
2019-04-02,47.950001,48.860001,47.650002,48.490002,40.90905,6120600
2019-04-03,48.900002,49.369999,48.189999,48.41,40.841549,5678000
2019-04-04,48.110001,48.68,47.93,48.450001,40.87529,5199700
2019-04-05,48.400002,48.709999,48.029999,48.369999,40.807808,4610800
2019-04-08,48.16,48.619999,48.080002,48.540001,40.951229,3526300
2019-04-09,48.189999,48.389999,47.700001,47.900002,40.411285,4418800
2019-04-10,48.0,48.200001,47.5,48.110001,40.588459,3792000
2019-04-11,48.330002,48.779999,48.200001,48.439999,40.866859,5130800
2019-04-12,49.169998,49.68,48.59,49.259998,41.558655,5335800
2019-04-15,49.259998,49.330002,48.48,48.59,40.993404,3804700
2019-04-16,48.740002,49.57,48.48,49.509998,41.769573,3136600
2019-04-17,49.689999,50.080002,49.16,49.84,42.047977,5182200
2019-04-18,49.82,49.93,48.279999,49.349998,41.63459,6679000
2019-04-22,49.169998,49.57,48.860001,49.240002,41.541794,4534500
2019-04-23,49.380001,49.560001,48.77,49.540001,41.794888,5886200
2019-04-24,49.299999,49.990002,49.119999,49.84,42.047977,5492500
2019-04-25,49.639999,50.470001,49.48,50.209999,42.360138,5425600
2019-04-26,50.27,50.790001,50.119999,50.73,42.798843,6828400
2019-04-29,50.77,51.759998,50.700001,51.299999,43.27972,4976400
2019-04-30,51.189999,51.43,50.77,51.200001,43.19537,5217100
2019-05-01,51.07,51.419998,50.52,50.68,42.756668,5977300
2019-05-02,50.75,51.110001,50.27,50.540001,42.638538,4497500
2019-05-03,50.66,51.119999,50.630001,50.970001,43.001316,3775800
2019-05-06,50.290001,51.040001,50.029999,50.790001,42.849468,2854800
2019-05-07,50.18,50.32,49.490002,49.82,42.031109,4211800
2019-05-08,49.779999,49.939999,49.299999,49.330002,41.617722,3321600
2019-05-09,48.779999,49.610001,48.66,49.5,41.761131,4827900
2019-05-10,49.18,50.02,48.810001,49.860001,42.064869,3631400
2019-05-13,48.939999,49.169998,48.07,48.23,40.68969,5807200
2019-05-14,48.0,48.630001,47.810001,48.040001,40.872612,3726000
2019-05-15,47.580002,47.77,46.860001,47.59,40.489761,4005700
2019-05-16,47.84,48.450001,47.720001,48.189999,41.000229,3638900
2019-05-17,47.740002,48.639999,47.59,47.880001,40.736496,7093700
2019-05-20,47.889999,48.599998,47.860001,48.34,41.127857,4101600
2019-05-21,48.509998,48.900002,48.5,48.779999,41.50222,3254800
2019-05-22,48.639999,49.200001,48.41,48.990002,41.680882,4673500
2019-05-23,48.700001,48.700001,47.830002,48.110001,40.932171,5005500
2019-05-24,48.27,48.470001,48.099998,48.330002,41.119347,3693800
2019-05-28,48.240002,48.5,47.560001,47.619999,40.515282,6264500
2019-05-29,47.27,47.740002,46.919998,47.66,40.549309,3855700
2019-05-30,47.77,48.049999,46.889999,47.290001,40.234509,3197400
2019-05-31,46.75,47.02,46.529999,46.75,39.775078,3901800
2019-06-03,46.669998,47.369999,46.549999,47.07,40.047329,4588300
2019-06-04,47.790001,48.880001,47.619999,48.830002,41.544758,4917400
2019-06-05,48.810001,49.380001,48.400002,49.330002,41.970161,4005400
2019-06-06,49.16,49.360001,48.830002,49.25,41.902084,5370400
2019-06-07,49.200001,49.27,48.529999,48.830002,41.544758,3645900
2019-06-10,49.279999,49.900002,49.029999,49.580002,42.182854,3006200
2019-06-11,49.880001,50.310001,49.68,50.060001,42.59124,3209700
2019-06-12,50.189999,50.5,49.5,49.59,42.191364,3650800
2019-06-13,49.59,50.16,49.57,49.73,42.310478,3454400
2019-06-14,49.75,50.18,49.330002,50.060001,42.59124,2947200
2019-06-17,50.080002,50.34,48.860001,48.970001,41.663864,3072400
2019-06-18,48.740002,49.610001,48.630001,49.369999,42.004185,4128900
2019-06-19,49.639999,50.290001,49.009998,49.049999,41.731922,4499600
2019-06-20,49.349998,49.380001,47.98,48.709999,41.44265,4004500
2019-06-21,48.709999,49.240002,48.560001,48.630001,41.374592,6221300
2019-06-24,48.57,49.130001,48.23,48.490002,41.255474,2834500
2019-06-25,48.450001,48.580002,47.779999,48.330002,41.119347,4348300
2019-06-26,48.48,48.77,48.060001,48.080002,40.906639,3797000
2019-06-27,48.220001,48.389999,47.75,48.18,40.991722,6204400
2019-06-28,48.700001,49.290001,48.52,49.130001,41.799995,7337800
2019-07-01,49.529999,49.959999,49.200001,49.560001,42.165836,3722800
2019-07-02,49.389999,49.639999,48.669998,48.790001,41.510719,3034900
2019-07-03,49.220001,49.27,48.759998,49.07,41.748943,2586400
2019-07-05,49.400002,49.959999,49.380001,49.939999,42.48914,3302200
2019-07-08,49.509998,49.560001,49.18,49.389999,42.021198,3349000
2019-07-09,49.25,50.209999,49.040001,50.049999,42.582737,4756500
2019-07-10,50.040001,50.040001,49.610001,49.75,42.327492,4246000
2019-07-11,49.790001,50.41,49.580002,50.310001,42.80394,3452900
2019-07-12,50.470001,50.560001,50.220001,50.450001,42.923054,3896000
2019-07-15,50.490002,50.490002,49.77,49.970001,42.514668,5197600
2019-07-16,50.0,50.0,49.389999,49.639999,42.233906,4114200
2019-07-17,49.490002,49.75,49.299999,49.639999,42.233906,5221400
2019-07-18,49.75,51.290001,49.299999,51.029999,43.416523,5878700
2019-07-19,50.990002,51.169998,50.459999,50.650002,43.093212,5127400
2019-07-22,50.5,50.77,50.25,50.439999,42.914532,4737300
2019-07-23,50.580002,51.209999,50.490002,50.98,43.373978,3381500
2019-07-24,50.98,51.66,50.75,51.540001,43.85043,3918800
2019-07-25,51.41,51.77,51.0,51.25,43.603695,5677100
2019-07-26,51.349998,51.75,51.220001,51.650002,43.944023,3409700
2019-07-29,51.59,52.029999,51.110001,51.200001,43.561157,3809900
2019-07-30,50.919998,51.419998,50.610001,51.389999,43.722805,4269600
2019-07-31,51.360001,51.889999,51.169998,51.529999,43.841923,5957400
2019-08-01,51.419998,51.669998,49.459999,49.630001,42.225399,5834800
2019-08-02,49.52,49.740002,48.59,49.349998,41.987175,4483800
2019-08-05,48.580002,48.580002,46.759998,47.369999,40.302574,4435400
2019-08-06,47.759998,47.82,46.549999,47.77,40.642906,4367000
2019-08-07,46.759998,47.25,45.959999,47.130001,40.098381,6312200
2019-08-08,47.599998,47.709999,47.099998,47.490002,40.404678,3454600
2019-08-09,47.34,47.599998,46.849998,47.349998,40.285561,2767400
2019-08-12,46.849998,47.080002,46.549999,46.66,39.698509,5267900
2019-08-13,46.279999,47.400002,45.900002,46.73,40.145237,3130300
2019-08-14,45.709999,46.349998,44.98,45.240002,38.865189,8589700
2019-08-15,45.48,45.869999,45.16,45.450001,39.045597,4444300
2019-08-16,45.860001,46.720001,45.669998,46.549999,39.990597,8381900
2019-08-19,47.23,47.349998,46.759998,46.959999,40.342819,4027600
2019-08-20,46.549999,46.630001,45.919998,46.049999,39.56105,4187700
2019-08-21,46.369999,46.529999,45.93,46.220001,39.707092,2984500
2019-08-22,46.529999,46.860001,46.119999,46.68,40.102276,2220200
2019-08-23,46.459999,46.860001,45.0,45.25,38.873775,3881300
2019-08-26,45.669998,46.040001,45.27,46.02,39.535278,3108300
2019-08-27,46.220001,46.360001,45.389999,45.669998,39.234596,3233400
2019-08-28,45.419998,46.75,45.380001,46.610001,40.042141,3519300
2019-08-29,47.049999,47.630001,46.98,47.41,40.729412,2730600
2019-08-30,47.799999,48.150002,47.470001,47.650002,40.935604,7055500
2019-09-03,47.200001,47.27,46.330002,46.700001,40.119457,6060000
2019-09-04,47.150002,47.48,46.93,47.310001,40.643501,2745300
2019-09-05,48.169998,48.959999,48.119999,48.650002,41.794678,3394200
2019-09-06,48.650002,48.959999,48.41,48.720001,41.854824,4551600
2019-09-09,49.16,50.66,48.990002,50.360001,43.263721,4715800
2019-09-10,50.639999,51.27,49.689999,51.240002,44.019726,7286200
2019-09-11,51.34,52.139999,50.459999,52.130001,44.784317,5256300
2019-09-12,51.799999,53.049999,51.279999,52.790001,45.351315,5648900
2019-09-13,53.34,53.689999,52.799999,53.060001,45.58326,4467000
2019-09-16,52.52,53.130001,52.299999,52.919998,45.462994,4260400
2019-09-17,52.720001,52.759998,52.259998,52.759998,45.325539,3448400
2019-09-18,52.400002,53.48,52.18,53.110001,45.626221,4002300
2019-09-19,53.029999,53.130001,52.709999,52.790001,45.351315,3189600
2019-09-20,53.02,53.200001,52.32,52.419998,45.033447,6272300
2019-09-23,52.0,52.700001,51.889999,52.57,45.162312,3740000
2019-09-24,52.580002,52.630001,51.610001,52.040001,44.706993,3659400
2019-09-25,52.16,52.959999,52.16,52.849998,45.402851,3777200
2019-09-26,52.669998,53.110001,52.509998,52.919998,45.462994,3996600
2019-09-27,53.470001,53.849998,53.139999,53.459999,45.926899,5031900
2019-09-30,53.77,53.82,53.240002,53.369999,45.849575,6651800
2019-10-01,53.639999,53.900002,52.259998,52.34,44.964722,8007600
2019-10-02,51.959999,51.959999,50.860001,51.07,43.873676,5620000
2019-10-03,50.860001,51.099998,50.02,50.810001,43.650318,5300500
2019-10-04,50.889999,51.68,50.709999,51.66,44.380547,4466000
2019-10-07,51.5,52.139999,51.32,51.599998,44.329002,3552000
2019-10-08,51.259998,51.43,50.759998,50.98,43.796356,4642300
2019-10-09,51.400002,51.470001,50.779999,50.990002,43.804958,4603200
2019-10-10,51.169998,51.73,51.009998,51.330002,44.097038,7752500
2019-10-11,52.200001,52.549999,51.91,52.0,44.67263,5192900
2019-10-14,51.73,52.16,51.619999,51.98,44.655441,2996400
2019-10-15,52.16,52.959999,51.959999,52.740002,45.308353,6301100
2019-10-16,52.900002,53.290001,52.68,52.990002,45.523132,5014200
2019-10-17,52.98,52.990002,51.400002,52.439999,45.050629,8105600
2019-10-18,52.419998,53.02,52.34,52.669998,45.248226,5074400
2019-10-21,53.16,53.490002,52.959999,53.450001,45.918316,4405300
2019-10-22,53.59,53.970001,53.02,53.470001,45.93549,4429400
2019-10-23,53.349998,53.610001,53.169998,53.490002,45.952667,2540500
2019-10-24,53.619999,53.639999,52.790001,53.049999,45.57468,2304900
2019-10-25,52.98,53.810001,52.98,53.580002,46.029995,2189300
2019-10-28,53.880001,54.200001,53.709999,54.0,46.390812,3999700
2019-10-29,53.790001,54.41,53.700001,54.240002,46.596992,5472200
2019-10-30,54.09,54.099998,53.540001,53.68,46.115898,4063400
2019-10-31,53.290001,53.68,52.48,53.049999,45.57468,4361100
2019-11-01,53.610001,54.119999,53.400002,54.099998,46.476719,3487300
2019-11-04,54.439999,54.82,54.380001,54.610001,46.914848,4964700
2019-11-05,54.869999,55.66,54.830002,55.360001,47.559174,5884700
