Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,12.25,12.63,12.137,12.55,10.360412,3210100
2019-01-03,12.42,12.52,12.353,12.39,10.228326,2534700
2019-01-04,12.67,12.91,12.615,12.84,10.599815,2743500
2019-01-07,12.84,13.05,12.775,12.97,10.707133,3163300
2019-01-08,13.04,13.09,12.92,13.0,10.7319,2384500
2019-01-09,13.08,13.14,12.93,12.96,10.698879,3655200
2019-01-10,13.02,13.17,13.01,13.1,10.814454,2622300
2019-01-11,13.05,13.26,13.02,13.18,10.880496,2160300
2019-01-14,13.03,13.33,13.03,13.26,10.946538,2759300
2019-01-15,13.1,13.23,13.05,13.22,10.913517,2680400
2019-01-16,13.36,13.57,13.34,13.54,11.177688,2680300
2019-01-17,13.32,13.545,13.29,13.49,11.136411,2586400
2019-01-18,13.57,13.62,13.495,13.61,11.235474,2937900
2019-01-22,12.91,13.06,12.85,12.94,10.682368,5007400
2019-01-23,13.18,13.185,13.01,13.05,10.773177,2790600
2019-01-24,13.01,13.13,12.941,13.07,10.789687,2265600
2019-01-25,13.07,13.175,13.06,13.1,10.814454,2884400
2019-01-28,12.97,13.09,12.95,13.04,10.764921,4429400
2019-01-29,13.09,13.15,12.99,13.01,10.740156,2517200
2019-01-30,13.1,13.26,13.045,13.2,10.897007,2176500
2019-01-31,12.91,12.998,12.86,12.96,10.698879,2367000
2019-02-01,12.84,12.94,12.785,12.87,10.62458,3237900
2019-02-04,12.77,12.85,12.71,12.83,10.591559,2622800
2019-02-05,12.96,13.07,12.95,13.02,10.748412,1796100
2019-02-06,13.04,13.1,12.98,12.99,10.723643,2195900
2019-02-07,12.92,12.94,12.73,12.77,10.542029,2844000
2019-02-08,12.65,12.71,12.525,12.68,10.467731,2054300
2019-02-11,12.78,12.81,12.67,12.69,10.475986,1454600
2019-02-12,12.74,12.855,12.73,12.82,10.583304,1801600
2019-02-13,12.97,13.0,12.9,12.91,10.657602,1305300
2019-02-14,12.72,12.77,12.64,12.68,10.467731,1833900
2019-02-15,12.88,12.96,12.86,12.95,10.690623,2485500
2019-02-19,12.7,12.945,12.68,12.92,10.665857,3522600
2019-02-20,12.49,12.555,12.34,12.46,10.286114,6228400
2019-02-21,12.29,12.36,12.27,12.33,10.178795,3247900
2019-02-22,12.42,12.44,12.33,12.34,10.18705,1892300
2019-02-25,12.5,12.58,12.43,12.46,10.286114,3588500
2019-02-26,12.55,12.65,12.55,12.61,10.409943,2287900
2019-02-27,12.63,12.695,12.6,12.65,10.442964,1463000
2019-02-28,12.79,12.81,12.665,12.67,10.459476,1997000
2019-03-01,12.76,12.84,12.71,12.71,10.492496,2432500
2019-03-04,12.74,12.78,12.55,12.63,10.426454,4738200
2019-03-05,12.51,12.52,12.4,12.49,10.310878,3173000
2019-03-06,12.55,12.56,12.32,12.36,10.20356,3256400
2019-03-07,12.15,12.16,11.98,12.01,9.914624,4996500
2019-03-08,11.79,11.96,11.79,11.93,9.848583,3308700
2019-03-11,12.1,12.17,12.06,12.1,9.988922,3956800
2019-03-12,12.12,12.17,12.07,12.11,9.997178,2161600
2019-03-13,12.19,12.27,12.19,12.25,10.112753,1691900
2019-03-14,12.31,12.35,12.26,12.28,10.137518,1757100
2019-03-15,12.13,12.24,12.12,12.23,10.096242,3960300
2019-03-18,12.48,12.53,12.47,12.51,10.32739,2751900
2019-03-19,12.71,12.765,12.54,12.57,10.376922,4399800
2019-03-20,12.35,12.44,12.28,12.32,10.170539,3751100
2019-03-21,12.2,12.3,12.199,12.24,10.104497,3091200
2019-03-22,12.05,12.07,11.88,11.88,9.807306,7156600
2019-03-25,11.88,11.95,11.8,11.85,9.782541,4109200
2019-03-26,11.97,12.02,11.84,11.92,9.840327,5383000
2019-03-27,12.14,12.19,12.01,12.02,9.92288,3957400
2019-03-28,11.99,12.03,11.92,11.99,9.898115,3629200
2019-03-29,12.14,12.2,12.061,12.11,9.997178,2927700
2019-04-01,12.28,12.44,12.28,12.4,10.236581,5598500
2019-04-02,12.38,12.42,12.28,12.41,10.244837,2959000
2019-04-03,12.54,12.6,12.49,12.53,10.343901,3708700
2019-04-04,12.55,12.655,12.55,12.59,10.393433,2332900
2019-04-05,12.6,12.64,12.53,12.56,10.368667,2062800
2019-04-08,12.53,12.555,12.48,12.53,10.343901,1685000
2019-04-09,12.56,12.56,12.475,12.52,10.335645,2382900
2019-04-10,12.49,12.51,12.41,12.47,10.294369,1604500
2019-04-11,12.63,12.75,12.605,12.72,10.500753,3841500
2019-04-12,12.92,12.99,12.821,12.85,10.608071,3926500
2019-04-15,12.95,12.98,12.88,12.92,10.665857,3881000
2019-04-16,13.02,13.15,13.02,13.12,10.830963,3669900
2019-04-17,13.28,13.34,13.215,13.33,11.004325,2352100
2019-04-18,13.28,13.32,13.21,13.26,10.946538,2737400
2019-04-22,13.23,13.28,13.17,13.26,10.946538,2559700
2019-04-23,13.11,13.205,13.053,13.09,10.806198,3318400
2019-04-24,13.21,13.211,13.09,13.17,10.87224,3043700
2019-04-25,13.25,13.39,13.25,13.3,10.97956,5785100
2019-04-26,13.27,13.34,13.22,13.29,10.971304,2894600
2019-04-29,13.42,13.55,13.41,13.53,11.169432,2705300
2019-04-30,13.52,13.54,13.36,13.44,11.095135,2194800
2019-05-01,13.4,13.52,13.27,13.28,10.963049,3052700
2019-05-02,13.39,13.44,13.31,13.38,11.045603,2934700
2019-05-03,13.36,13.39,13.23,13.33,11.004325,5274900
2019-05-06,12.47,12.59,12.43,12.56,10.933813,3436500
2019-05-07,12.3,12.32,12.18,12.22,10.637834,3835400
2019-05-08,12.26,12.36,12.224,12.27,10.681359,3839300
2019-05-09,11.98,12.16,11.895,12.12,10.550781,4409100
2019-05-10,12.03,12.16,11.96,12.13,10.559485,3012100
2019-05-13,11.8,11.88,11.76,11.79,10.263507,4203000
2019-05-14,11.73,11.89,11.7,11.81,10.280918,3149100
2019-05-15,11.71,11.86,11.67,11.79,10.263507,3025200
2019-05-16,11.96,12.095,11.95,11.99,10.437613,6006900
2019-05-17,11.9,12.07,11.9,11.96,10.411496,2335400
2019-05-20,11.9,12.025,11.88,12.0,10.446318,3034400
2019-05-21,12.0,12.06,11.945,12.04,10.481139,2062100
2019-05-22,11.93,11.98,11.9,11.91,10.36797,1655800
2019-05-23,11.68,11.79,11.65,11.77,10.246097,2555900
2019-05-24,11.86,11.93,11.805,11.91,10.36797,2477300
2019-05-28,11.78,11.79,11.66,11.66,10.150338,2364300
2019-05-29,11.56,11.66,11.5,11.62,10.115518,2199400
2019-05-30,11.66,11.72,11.54,11.57,10.071991,1863400
2019-05-31,11.46,11.52,11.37,11.43,9.950118,3454400
2019-06-03,11.33,11.495,11.32,11.47,9.984939,3540400
2019-06-04,11.68,11.77,11.63,11.77,10.246097,4045600
2019-06-05,11.85,11.85,11.69,11.75,10.228686,2696600
2019-06-06,11.79,11.82,11.664,11.77,10.246097,2267100
2019-06-07,11.84,11.88,11.77,11.8,10.272212,1743400
2019-06-10,11.88,11.97,11.85,11.86,10.324444,2078200
2019-06-11,11.97,11.99,11.895,11.92,10.376676,2380600
2019-06-12,11.79,11.83,11.715,11.74,10.219981,1711600
2019-06-13,11.71,11.76,11.65,11.69,10.176454,1870600
2019-06-14,11.55,11.57,11.49,11.54,10.045876,2635200
2019-06-17,11.56,11.6,11.47,11.48,9.993644,2342500
2019-06-18,11.51,11.73,11.51,11.67,10.159044,3054700
2019-06-19,11.78,11.91,11.755,11.76,10.237391,2605300
2019-06-20,11.8,11.816,11.67,11.76,10.237391,2447800
2019-06-21,11.7,11.74,11.64,11.64,10.13293,1860700
2019-06-24,11.68,11.71,11.64,11.66,10.150338,2583300
2019-06-25,11.57,11.63,11.55,11.58,10.080696,2390200
2019-06-26,11.65,11.71,11.615,11.68,10.167749,1638400
2019-06-27,11.91,11.99,11.835,11.84,10.307033,2311100
2019-06-28,11.88,11.935,11.82,11.85,10.31574,2522600
2019-07-01,12.05,12.08,11.84,11.9,10.359265,3699500
2019-07-02,11.9,11.95,11.885,11.93,10.385381,1777000
2019-07-03,12.01,12.04,11.98,11.99,10.437613,1048700
2019-07-05,12.18,12.25,12.08,12.14,10.568192,1890500
2019-07-08,12.02,12.08,11.95,11.96,10.411496,2353100
2019-07-09,11.84,11.93,11.84,11.88,10.341855,1884700
2019-07-10,12.13,12.15,12.01,12.02,10.463729,2539700
2019-07-11,12.04,12.17,12.04,12.16,10.585601,4071000
2019-07-12,12.2,12.24,12.175,12.22,10.637834,3853800
