Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.453,5.54,5.44,5.51,4.875286,163400
2019-01-03,5.508,5.518,5.42,5.455,4.826621,303400
2019-01-04,5.75,5.83,5.73,5.795,5.127455,162900
2019-01-07,5.895,6.01,5.88,5.985,5.295569,324500
2019-01-08,5.92,5.95,5.82,5.865,5.189392,379700
2019-01-09,5.95,5.98,5.89,5.945,5.260176,124600
2019-01-10,5.92,6.07,5.92,6.04,5.344233,646900
2019-01-11,5.94,6.06,5.94,6.04,5.344233,1303800
2019-01-14,5.88,5.94,5.87,5.93,5.246904,429800
2019-01-15,5.75,5.75,5.66,5.71,5.052247,446400
2019-01-16,5.95,6.07,5.95,6.03,5.335385,132500
2019-01-17,6.02,6.07,5.98,6.035,5.339808,154300
2019-01-18,6.02,6.05,5.96,6.02,5.326537,345300
2019-01-22,5.88,5.88,5.82,5.85,5.176119,534700
2019-01-23,5.99,6.03,5.92,5.96,5.273448,203400
2019-01-24,5.96,6.01,5.92,5.97,5.282296,314600
2019-01-25,6.11,6.25,6.11,6.21,5.49465,71000
2019-01-28,6.08,6.13,6.05,6.11,5.40617,407300
2019-01-29,6.05,6.05,5.97,6.01,5.317688,88200
2019-01-30,5.95,6.04,5.91,6.01,5.317688,90600
2019-01-31,5.7,5.78,5.7,5.73,5.069943,280400
2019-02-01,5.58,5.64,5.54,5.6,4.954918,275800
2019-02-04,5.503,5.54,5.47,5.53,4.892982,119300
2019-02-05,5.585,5.62,5.57,5.58,4.937222,176200
2019-02-06,5.795,5.9,5.795,5.84,5.167272,677900
2019-02-07,5.92,5.92,5.69,5.75,5.087639,104400
2019-02-08,5.74,5.8,5.66,5.775,5.109759,986500
2019-02-11,5.85,5.86,5.78,5.805,5.136303,107100
2019-02-12,6.0,6.02,5.95,6.015,5.322113,289000
2019-02-13,6.11,6.13,6.07,6.095,5.392897,171100
2019-02-14,6.005,6.05,5.95,5.99,5.299992,85600
2019-02-15,6.148,6.3,6.148,6.3,5.574283,87800
2019-02-19,6.43,6.48,6.372,6.45,5.707004,92400
2019-02-20,6.386,6.49,6.38,6.46,5.715852,99600
2019-02-21,6.27,6.28,6.21,6.24,5.521194,83700
2019-02-22,6.293,6.3,6.24,6.27,5.547739,57900
2019-02-25,6.47,6.5,6.41,6.42,5.680459,72200
2019-02-26,6.47,6.5,6.46,6.485,5.737972,104000
2019-02-27,6.51,6.67,6.51,6.62,5.857421,119100
2019-02-28,6.79,6.8,6.71,6.745,5.968021,88400
2019-03-01,6.87,6.87,6.75,6.78,5.99899,73500
2019-03-04,6.67,6.73,6.63,6.67,5.901661,282900
2019-03-05,6.635,6.66,6.59,6.63,5.866269,442000
2019-03-06,6.685,6.685,6.6,6.605,5.844149,132100
2019-03-07,6.4,6.42,6.32,6.32,5.591979,86500
2019-03-08,6.228,6.28,6.22,6.25,5.530042,74600
2019-03-11,6.36,6.42,6.35,6.405,5.667187,66800
2019-03-12,6.39,6.43,6.37,6.395,5.65834,113100
2019-03-13,6.44,6.53,6.44,6.515,5.764516,45500
2019-03-14,6.568,6.61,6.555,6.585,5.826453,65900
2019-03-15,6.555,6.62,6.52,6.59,5.830876,78600
2019-03-18,6.82,6.84,6.78,6.815,6.029958,61500
2019-03-19,6.91,6.92,6.82,6.855,6.06535,293800
2019-03-20,6.84,6.95,6.8,6.91,6.114015,41100
2019-03-21,6.765,6.788,6.68,6.74,5.963597,601100
2019-03-22,6.41,6.44,6.28,6.41,5.671611,135400
2019-03-25,6.4,6.42,6.35,6.39,5.653915,36600
2019-03-26,6.328,6.353,6.26,6.29,5.565434,306600
2019-03-27,6.53,6.535,6.37,6.485,5.737972,79100
2019-03-28,6.35,6.36,6.28,6.33,5.600827,264100
2019-03-29,6.35,6.38,6.3,6.375,5.640643,106300
2019-04-01,6.61,6.7,6.6,6.665,5.897237,179100
2019-04-02,6.63,6.67,6.53,6.67,5.901661,120500
2019-04-03,6.73,6.84,6.73,6.815,6.029958,331700
2019-04-04,6.716,6.76,6.7,6.715,5.941477,78500
2019-04-05,6.73,6.73,6.66,6.7,5.928205,77900
2019-04-08,6.67,6.69,6.63,6.655,5.888389,85600
2019-04-09,6.63,6.71,6.62,6.67,5.901661,36900
2019-04-10,6.64,6.65,6.56,6.61,5.848573,65100
2019-04-11,6.65,6.735,6.62,6.655,5.888389,60900
2019-04-12,6.96,6.97,6.9,6.94,6.140559,65900
2019-04-15,7.07,7.07,6.82,6.97,6.167103,61500
2019-04-16,7.17,7.26,7.13,7.24,6.406001,29300
2019-04-17,7.29,7.34,7.25,7.34,6.494482,37500
2019-04-18,7.165,7.175,7.11,7.16,6.335217,117500
2019-04-22,7.138,7.22,7.04,7.065,6.25116,58400
2019-04-23,6.895,6.91,6.86,6.87,6.078622,60000
2019-04-24,6.77,6.77,6.65,6.69,5.919358,78800
2019-04-25,6.64,6.69,6.59,6.65,5.883965,102500
2019-04-26,6.674,6.73,6.65,6.695,5.923781,78200
2019-04-29,6.84,6.88,6.84,6.88,6.087471,34100
2019-04-30,6.88,6.95,6.85,6.92,6.122863,78300
2019-05-01,6.92,6.95,6.81,6.93,6.131711,32200
2019-05-02,6.93,6.93,6.81,6.86,6.069775,31000
2019-05-03,6.8,6.84,6.78,6.83,6.04323,521800
2019-05-06,6.59,6.61,6.55,6.57,5.81318,300200
2019-05-07,6.42,6.42,6.26,6.26,5.53889,203500
2019-05-08,6.35,6.41,6.3,6.3,5.574283,74300
2019-05-09,6.25,6.29,6.184,6.25,5.530042,74500
2019-05-10,6.28,6.37,6.21,6.338,5.607905,139100
