Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,45.220001,46.389999,45.049999,46.349998,38.96077,8155500
2019-01-03,46.200001,46.439999,45.639999,45.700001,38.414402,8141100
2019-01-04,46.439999,47.130001,46.150002,46.830002,39.36425,7725300
2019-01-07,46.66,47.099998,46.459999,46.610001,39.179321,5927000
2019-01-08,47.009998,47.16,46.240002,46.91,39.431496,6654400
2019-01-09,47.02,47.5,46.689999,47.41,39.851776,7765100
2019-01-10,47.310001,47.59,46.860001,47.310001,39.767727,8050800
2019-01-11,47.099998,47.549999,46.759998,47.439999,39.87701,5196100
2019-01-14,47.150002,47.900002,46.880001,47.790001,40.171211,8209600
2019-01-15,47.610001,48.189999,47.279999,47.970001,40.322521,7676600
2019-01-16,48.259998,49.490002,48.16,49.110001,41.280769,9913500
2019-01-17,48.970001,50.0,48.970001,49.75,41.818737,11787200
2019-01-18,50.110001,50.400002,49.59,50.220001,42.213814,10014100
2019-01-22,49.950001,50.400002,49.880001,50.139999,42.146561,10614800
2019-01-23,50.259998,50.669998,49.990002,50.529999,42.474384,7785100
2019-01-24,50.34,51.02,50.290001,50.889999,42.776997,5654800
2019-01-25,51.349998,51.630001,51.07,51.369999,43.180481,6622400
2019-01-28,50.91,51.310001,50.82,51.27,43.096416,5207000
2019-01-29,51.18,51.5,50.860001,51.049999,42.911488,5105100
2019-01-30,51.0,51.43,50.810001,51.040001,42.90308,5451200
2019-01-31,50.709999,51.330002,50.5,51.16,43.003952,9033500
2019-02-01,51.259998,51.610001,51.009998,51.290001,43.113224,4597100
2019-02-04,51.209999,51.57,50.990002,51.57,43.348583,4013400
2019-02-05,51.610001,51.650002,51.049999,51.48,43.272942,5483200
2019-02-06,51.389999,51.790001,51.220001,51.439999,43.239315,4898700
2019-02-07,51.549999,52.0,50.540001,50.950001,42.827423,10708100
2019-02-08,50.810001,51.0,49.939999,50.580002,42.516418,8918000
2019-02-11,50.82,50.900002,50.389999,50.549999,42.491196,4797500
2019-02-12,51.009998,51.439999,50.93,51.209999,43.045979,7526100
2019-02-13,51.220001,51.459999,50.880001,50.91,42.7938,5075300
2019-02-14,50.509998,50.700001,50.119999,50.459999,42.415546,5507900
2019-02-15,50.950001,51.360001,50.759998,51.310001,43.130035,7757300
2019-02-19,51.049999,51.560001,50.849998,51.310001,43.130035,7179300
2019-02-20,51.310001,51.650002,51.049999,51.599998,43.373806,7722900
2019-02-21,51.529999,51.549999,50.919998,51.049999,42.911488,6145700
2019-02-22,51.209999,51.34,50.950001,51.279999,43.104828,4959500
2019-02-25,51.57,52.189999,51.52,51.610001,43.382217,6154400
2019-02-26,51.41,51.810001,51.139999,51.299999,43.121632,4823300
2019-02-27,51.32,51.580002,51.169998,51.540001,43.323376,3838000
2019-02-28,51.610001,51.720001,51.439999,51.689999,43.449459,5808800
2019-03-01,52.119999,52.389999,51.48,51.720001,43.474678,5734600
2019-03-04,51.91,52.32,51.099998,51.669998,43.43264,4610900
2019-03-05,51.669998,51.709999,51.080002,51.540001,43.323376,4415900
2019-03-06,51.400002,51.619999,50.98,51.099998,42.953518,4345700
2019-03-07,51.0,51.060001,50.369999,50.68,42.600468,4048500
2019-03-08,50.290001,50.91,50.25,50.869999,42.760185,4024500
2019-03-11,51.07,51.490002,51.0,51.459999,43.256123,5558300
2019-03-12,51.610001,51.630001,50.939999,51.049999,42.911488,6531500
2019-03-13,51.200001,51.709999,50.939999,51.580002,43.356998,5111800
2019-03-14,51.73,52.07,51.490002,51.709999,43.466274,3595500
2019-03-15,51.939999,52.130001,51.630001,52.07,43.768875,9076500
2019-03-18,52.259998,52.650002,52.18,52.450001,44.088291,7244600
2019-03-19,52.779999,52.959999,51.82,51.93,43.651199,5645500
2019-03-20,51.849998,51.91,50.330002,50.369999,42.339901,6540200
2019-03-21,50.02,50.18,49.349998,49.66,41.743084,8488700
2019-03-22,49.279999,49.380001,48.09,48.279999,40.583088,8290500
2019-03-25,48.400002,48.799999,47.82,48.099998,40.431789,6279900
2019-03-26,48.310001,48.869999,48.130001,48.509998,40.776421,7669900
2019-03-27,48.349998,48.43,47.959999,48.130001,40.456997,7039100
2019-03-28,48.009998,48.290001,47.57,48.040001,40.694187,5147300
2019-03-29,48.439999,48.52,47.869999,48.189999,40.821251,8608300
2019-04-01,48.549999,49.139999,48.299999,49.07,41.566689,10065200
2019-04-02,49.07,49.34,48.810001,49.139999,41.625988,7568000
2019-04-03,49.490002,49.959999,49.240002,49.419998,41.863171,5042500
2019-04-04,49.380001,50.139999,49.330002,49.790001,42.176594,5130700
2019-04-05,49.799999,50.099998,49.389999,49.700001,42.100353,5756500
2019-04-08,49.689999,49.939999,49.639999,49.880001,42.252834,4920100
2019-04-09,49.59,49.59,49.110001,49.220001,41.693748,4551100
2019-04-10,49.32,49.48,48.919998,49.299999,41.761524,5430200
2019-04-11,49.529999,49.98,49.299999,49.610001,42.024117,4651500
2019-04-12,50.189999,50.759998,49.66,50.220001,42.540848,11394900
2019-04-15,50.23,50.290001,49.669998,49.889999,42.261299,4587500
2019-04-16,49.82,50.380001,49.380001,50.279999,42.591667,7570500
2019-04-17,49.349998,50.880001,49.02,50.669998,42.922031,7825600
2019-04-18,50.610001,51.48,50.43,51.209999,43.379456,8816300
2019-04-22,51.110001,51.700001,50.880001,51.200001,43.370991,8049600
2019-04-23,51.07,51.810001,50.68,51.689999,43.786057,7165000
2019-04-24,51.48,52.0,51.380001,51.68,43.777592,5567500
2019-04-25,51.349998,52.060001,51.25,51.84,43.913124,5146300
2019-04-26,51.91,52.349998,51.700001,52.34,44.336674,5082900
2019-04-29,52.450001,53.330002,52.34,53.0,44.89576,5613100
2019-04-30,53.130001,53.380001,52.849998,53.32,45.166821,5947500
2019-05-01,53.27,53.73,52.880001,53.110001,44.98893,5558900
2019-05-02,53.209999,53.529999,52.799999,53.18,45.048225,4589300
2019-05-03,53.290001,53.779999,53.200001,53.48,45.302349,4205600
2019-05-06,52.639999,53.66,52.5,53.34,45.183765,4557000
2019-05-07,52.790001,53.110001,52.299999,52.560001,44.523037,6097500
2019-05-08,52.419998,52.84,52.189999,52.220001,44.235023,5453200
2019-05-09,51.799999,52.189999,51.470001,52.119999,44.150314,5560100
2019-05-10,51.919998,52.34,51.299999,52.169998,44.192661,4759400
2019-05-13,51.459999,51.720001,50.689999,50.810001,43.040619,5612100
2019-05-14,50.84,51.630001,50.720001,51.049999,43.243919,6210900
2019-05-15,50.540001,51.099998,50.349998,50.790001,43.023685,4071000
2019-05-16,51.07,51.810001,51.02,51.5,43.625114,4460200
2019-05-17,51.099998,51.93,51.099998,51.560001,43.675945,5278400
2019-05-20,51.490002,52.09,51.209999,51.720001,43.811478,4573000
2019-05-21,51.880001,52.130001,51.720001,51.900002,43.963951,3369000
2019-05-22,51.740002,51.970001,51.48,51.849998,43.921608,3540200
2019-05-23,51.549999,51.580002,50.740002,51.169998,43.345573,5142700
2019-05-24,51.459999,51.52,51.18,51.330002,43.481113,5636700
2019-05-28,51.200001,51.369999,50.610001,50.669998,42.922031,6431700
2019-05-29,50.5,50.799999,50.07,50.599998,42.862732,4865900
2019-05-30,50.619999,51.040001,49.990002,50.400002,42.693321,4688600
2019-05-31,49.869999,50.330002,49.75,50.200001,42.523899,5678500
2019-06-03,50.060001,50.790001,49.849998,50.73,42.972862,6045400
2019-06-04,51.459999,52.299999,51.259998,52.209999,44.226547,6856500
2019-06-05,52.240002,52.599998,51.900002,52.509998,44.480667,5021600
2019-06-06,52.610001,52.959999,52.389999,52.77,44.700924,4327200
2019-06-07,52.580002,52.889999,52.450001,52.669998,44.616203,4139700
2019-06-10,53.0,53.470001,52.889999,52.900002,44.811047,4866300
2019-06-11,53.259998,53.639999,52.950001,53.18,45.048225,3820200
2019-06-12,53.139999,53.459999,52.560001,52.689999,44.633152,4153400
2019-06-13,52.77,53.080002,52.5,52.689999,44.633152,4313900
2019-06-14,52.650002,52.82,51.98,52.619999,44.573853,5665600
2019-06-17,52.619999,52.77,51.400002,51.509998,43.633587,5059900
2019-06-18,51.560001,52.419998,51.349998,52.189999,44.209606,5293000
2019-06-19,52.380001,52.950001,52.040001,52.119999,44.150314,5664000
2019-06-20,52.360001,52.619999,51.32,52.16,44.184189,4533500
2019-06-21,52.18,52.619999,52.119999,52.259998,44.268902,9004800
2019-06-24,52.200001,52.650002,51.889999,52.299999,44.302788,4681500
2019-06-25,52.220001,52.259998,51.59,52.040001,44.082542,4671900
2019-06-26,52.209999,52.509998,51.880001,51.98,44.031723,5012800
2019-06-27,51.849998,52.25,51.68,51.98,44.347393,3738700
2019-06-28,52.389999,52.75,52.080002,52.400002,44.705723,10087100
2019-07-01,52.93,53.220001,52.75,53.009998,45.226139,3882300
2019-07-02,52.880001,53.189999,52.630001,52.93,45.157894,3175200
2019-07-03,53.07,53.349998,52.900002,53.25,45.430901,2102700
2019-07-05,53.549999,53.84,53.349998,53.68,45.797768,3195300
2019-07-08,53.330002,53.68,52.91,53.099998,45.302933,4123900
2019-07-09,52.790001,53.349998,52.709999,53.34,45.507698,3676100
2019-07-10,53.419998,53.509998,52.950001,53.18,45.371181,3817500
2019-07-11,53.290001,53.529999,53.099998,53.470001,45.618607,6137300
2019-07-12,53.860001,53.860001,53.389999,53.599998,45.729504,4257700
2019-07-15,53.66,53.700001,52.900002,53.119999,45.319996,4484500
2019-07-16,53.279999,53.310001,52.950001,53.040001,45.251743,5441300
2019-07-17,53.049999,54.84,52.810001,54.220001,46.258469,8805200
2019-07-18,54.419998,55.369999,54.299999,55.189999,47.08604,7893700
2019-07-19,55.07,55.540001,54.970001,55.0,46.923943,7237700
2019-07-22,54.970001,55.439999,54.830002,55.330002,47.205486,5568400
2019-07-23,55.349998,56.110001,55.330002,56.029999,47.802696,7422200
2019-07-24,55.860001,56.759998,55.860001,56.59,48.280468,7947800
2019-07-25,56.82,56.950001,56.41,56.560001,48.254871,5304400
2019-07-26,56.549999,57.48,56.549999,57.380001,48.954472,6396300
2019-07-29,57.169998,57.669998,57.02,57.060001,48.681458,4603200
2019-07-30,56.779999,57.290001,56.650002,57.139999,48.74971,5468000
2019-07-31,57.330002,57.810001,57.009998,57.150002,48.758244,6685100
2019-08-01,56.849998,57.189999,55.48,55.689999,47.512615,8786800
2019-08-02,55.34,55.68,54.619999,55.43,47.290802,7249400
2019-08-05,54.419998,54.5,52.610001,53.049999,45.260269,7480400
2019-08-06,53.330002,53.610001,52.5,53.560001,45.695381,4668300
2019-08-07,52.580002,52.779999,51.330002,52.610001,44.884876,6955700
2019-08-08,53.09,53.240002,52.689999,52.959999,45.183487,5181300
2019-08-09,52.82,53.139999,52.209999,52.790001,45.038456,5491200
2019-08-12,52.200001,52.630001,51.98,52.240002,44.569214,3045000
2019-08-13,52.310001,53.220001,51.860001,52.830002,45.072578,4671500
2019-08-14,51.830002,52.220001,50.830002,50.900002,43.425972,9297700
2019-08-15,51.25,51.66,50.84,51.279999,43.750172,6654000
2019-08-16,51.650002,52.459999,51.529999,52.279999,44.60334,6192300
2019-08-19,53.119999,53.209999,52.5,52.669998,44.936058,3563000
2019-08-20,52.330002,52.490002,51.57,51.630001,44.04879,4399100
2019-08-21,52.099998,52.209999,51.599998,51.860001,44.24501,3236600
2019-08-22,52.25,52.439999,51.720001,52.049999,44.407112,3522700
2019-08-23,51.869999,52.290001,50.599998,50.950001,43.468628,6039900
2019-08-26,51.32,51.34,50.799999,51.290001,43.758709,3968900
2019-08-27,51.509998,51.610001,50.810001,51.040001,43.545414,4696400
2019-08-28,50.799999,51.790001,50.790001,51.580002,44.006134,3545600
2019-08-29,52.119999,52.549999,52.02,52.389999,44.697186,3652400
2019-08-30,52.779999,52.98,52.450001,52.689999,44.953133,4975600
2019-09-03,52.400002,52.41,51.740002,52.02,44.381516,4508900
2019-09-04,52.509998,52.599998,52.18,52.459999,44.756912,3031200
2019-09-05,53.130001,54.07,53.09,53.27,45.447968,4774500
2019-09-06,53.389999,53.779999,53.330002,53.41,45.567406,4991900
2019-09-09,53.919998,55.060001,53.68,54.91,46.847153,5060800
2019-09-10,55.150002,55.860001,54.990002,55.860001,47.657661,6414000
2019-09-11,55.82,55.970001,55.139999,55.950001,47.734444,5438100
2019-09-12,55.5,56.0,54.560001,55.73,47.546741,7144000
2019-09-13,56.130001,56.450001,55.689999,56.080002,47.845348,5680800
2019-09-16,55.639999,55.91,55.450001,55.860001,47.657661,3880500
2019-09-17,55.299999,55.93,55.040001,55.900002,47.691795,5358400
2019-09-18,55.709999,56.16,55.389999,55.91,47.700321,3850100
2019-09-19,56.02,56.23,55.639999,55.799999,47.606472,3543800
2019-09-20,55.759998,56.040001,55.349998,55.439999,47.299324,18203300
2019-09-23,55.080002,55.77,55.049999,55.68,47.504093,3541800
2019-09-24,55.959999,56.0,55.110001,55.330002,47.205486,5249000
2019-09-25,55.580002,55.919998,55.34,55.740002,47.555279,3826000
2019-09-26,55.720001,55.849998,55.380001,55.57,47.410233,5115500
2019-09-27,55.529999,55.779999,55.07,55.43,47.650951,4532500
2019-09-30,55.0,55.669998,54.959999,55.34,47.573578,4403900
2019-10-01,55.610001,55.68,53.709999,53.779999,46.232506,5620300
2019-10-02,53.48,53.52,52.57,52.880001,45.45882,5346800
2019-10-03,52.720001,53.07,52.080002,53.049999,45.604954,4134700
2019-10-04,53.09,54.18,53.0,54.09,46.499001,3657800
2019-10-07,53.900002,54.299999,53.830002,53.93,46.361462,3610900
2019-10-08,53.41,53.41,52.240002,52.380001,45.028988,7799500
2019-10-09,52.73,52.849998,52.299999,52.610001,45.226704,3316600
2019-10-10,52.860001,53.439999,52.740002,53.02,45.579166,4432800
2019-10-11,54.0,54.119999,53.43,53.470001,45.966019,5432200
2019-10-14,53.220001,53.540001,53.139999,53.259998,45.785484,3708000
2019-10-15,53.330002,54.009998,53.119999,53.759998,46.215317,8012800
2019-10-16,54.849998,55.459999,54.279999,54.57,46.911644,7941300
2019-10-17,54.799999,55.169998,54.439999,54.709999,47.031994,4881300
2019-10-18,54.799999,55.259998,54.580002,55.07,47.341473,6217700
2019-10-21,55.709999,56.34,55.610001,56.189999,48.304287,4782100
2019-10-22,56.099998,57.049999,56.02,56.650002,48.69973,7135600
2019-10-23,56.5,56.849998,56.330002,56.580002,48.639557,4677900
2019-10-24,56.560001,56.720001,56.07,56.310001,48.407455,4934900
2019-10-25,56.25,57.049999,56.25,56.740002,48.777111,3877000
2019-10-28,57.02,57.330002,56.810001,57.02,49.017815,4661200
2019-10-29,56.900002,57.709999,56.740002,57.34,49.292904,4269800
2019-10-30,57.220001,57.380001,56.990002,57.119999,49.103775,4745900
2019-10-31,56.810001,57.119999,56.360001,57.02,49.017815,4906800
2019-11-01,57.549999,57.939999,57.380001,57.580002,49.499226,5870200
2019-11-04,58.0,58.240002,57.91,58.139999,49.980618,6791000
2019-11-05,58.400002,58.880001,58.25,58.59,50.36747,5910200
2019-11-06,58.5,58.84,58.32,58.759998,50.513615,4777800
2019-11-07,59.23,59.709999,58.98,59.099998,50.805901,5205500
2019-11-08,59.009998,59.049999,58.549999,58.900002,50.633965,3214700
2019-11-11,58.5,58.939999,58.389999,58.639999,50.410454,1790900
2019-11-12,58.599998,58.849998,58.380001,58.48,50.272911,3254300
2019-11-13,58.209999,58.810001,57.93,58.610001,50.384666,4090800
2019-11-14,58.5,58.68,58.18,58.57,50.350281,3304600
2019-11-15,58.799999,59.32,58.68,59.09,50.797298,5069900
2019-11-18,59.009998,59.66,59.009998,59.560001,51.20134,4845500
2019-11-19,59.630001,59.77,59.139999,59.419998,51.08099,4974700
2019-11-20,59.150002,59.439999,58.73,59.110001,50.814499,4287600
2019-11-21,59.380001,59.709999,59.080002,59.490002,51.141167,5880400
2019-11-22,59.52,60.049999,59.5,60.049999,51.622578,6548900
2019-11-25,60.040001,60.509998,59.66,59.82,51.424858,8473300
2019-11-26,59.77,60.240002,59.700001,59.919998,51.510815,7285600
2019-11-27,60.16,60.34,59.970001,60.189999,51.742924,4246500
2019-11-29,60.23,60.299999,59.919998,60.029999,51.605385,3394800
2019-12-02,60.25,60.470001,59.68,59.759998,51.373272,5085600
2019-12-03,59.16,59.16,58.639999,58.93,50.65976,8044600
2019-12-04,59.07,59.700001,58.959999,59.310001,50.986431,5926800
2019-12-05,59.400002,59.880001,59.169998,59.599998,51.235733,4925400
2019-12-06,60.25,60.580002,60.110001,60.139999,51.699947,5894300
2019-12-09,59.990002,60.41,59.91,60.0,51.579597,4357900
2019-12-10,59.830002,60.16,59.709999,59.950001,51.536613,5719400
2019-12-11,60.060001,60.450001,59.189999,59.25,50.934849,8940500
2019-12-12,59.220001,60.700001,59.200001,60.549999,52.052406,7120600
2019-12-13,60.48,60.810001,60.040001,60.27,51.811695,5424800
2019-12-16,60.939999,61.110001,60.540001,60.66,52.146973,6758000
2019-12-17,60.610001,60.970001,60.48,60.68,52.164165,7301600
2019-12-18,60.75,60.82,59.610001,60.09,51.656963,12497800
2019-12-19,60.02,60.32,59.869999,60.009998,51.588192,8029200
2019-12-20,60.689999,60.919998,59.720001,59.77,51.381866,14484000
2019-12-23,59.77,59.98,59.459999,59.580002,51.218536,4971300
2019-12-24,59.669998,59.799999,59.52,59.669998,51.295902,2246200
2019-12-26,59.860001,60.209999,59.639999,60.150002,51.708542,4155100
2019-12-27,60.360001,60.360001,59.650002,59.73,51.347481,3661800
2019-12-30,59.560001,59.689999,59.07,59.169998,51.226288,4020100
2019-12-31,59.099998,59.389999,58.869999,59.290001,51.33017,4732000
2020-01-02,59.470001,59.48,59.009998,59.200001,51.252254,5002100
2020-01-03,58.5,58.810001,58.02,58.509998,50.654877,5161800
2020-01-06,57.07,57.790001,56.82,57.709999,49.962284,6869200
2020-01-07,57.529999,57.689999,57.139999,57.16,49.486134,4006800
2020-01-08,57.200001,57.509998,57.029999,57.040001,49.38224,5627500
2020-01-09,57.349998,57.560001,56.860001,57.060001,49.399551,5775400
2020-01-10,57.099998,57.150002,56.580002,56.669998,49.061916,5285000
2020-01-13,56.52,56.779999,56.189999,56.709999,49.096535,6235800
2020-01-14,56.689999,57.200001,56.470001,56.59,48.992649,6866500
2020-01-15,55.470001,55.82,54.490002,54.970001,47.590137,10158500
2020-01-16,54.75,55.27,54.400002,55.189999,47.780605,12176100
2020-01-17,55.32,55.490002,55.110001,55.349998,47.919121,9546400
2020-01-21,54.889999,54.990002,54.360001,54.419998,47.113976,9490600
2020-01-22,54.549999,55.02,54.450001,54.939999,47.564167,6804900
2020-01-23,54.790001,55.009998,54.349998,54.880001,47.512222,7107800
2020-01-24,54.860001,54.860001,53.5,53.84,46.611851,6179500
2020-01-27,53.0,53.709999,52.869999,53.540001,46.352127,6296200
2020-01-28,53.84,54.400002,53.669998,53.860001,46.629158,5965200
2020-01-29,53.98,54.360001,53.529999,53.599998,46.40406,5026600
2020-01-30,53.189999,54.32,53.18,54.25,46.966797,6190800
2020-01-31,53.759998,53.91,53.049999,53.220001,46.075081,6355100
2020-02-03,53.57,54.25,53.549999,53.689999,46.481983,6336900
2020-02-04,54.380001,54.84,54.189999,54.220001,46.940826,5512200
2020-02-05,55.0,55.389999,54.810001,55.200001,47.789265,6071600
2020-02-06,55.52,55.599998,54.73,54.799999,47.442959,4608800
2020-02-07,54.639999,54.740002,54.299999,54.619999,47.287132,3626700
2020-02-10,54.439999,54.639999,54.099998,54.639999,47.304447,5602700
2020-02-11,54.709999,55.310001,54.700001,54.93,47.555508,5309400
2020-02-12,55.259998,55.689999,54.790001,54.810001,47.451622,4112400
2020-02-13,54.66,55.369999,54.48,55.18,47.771946,4928100
2020-02-14,55.209999,55.330002,54.84,55.110001,47.711342,4351500
2020-02-18,54.880001,55.099998,53.799999,54.419998,47.113976,5591200
2020-02-19,54.700001,54.880001,54.610001,54.75,47.399685,4219800
2020-02-20,54.57,55.23,54.52,54.799999,47.442959,4906200
2020-02-21,54.52,54.689999,54.049999,54.549999,47.226528,5666000
2020-02-24,53.049999,53.599998,52.950001,53.080002,45.953873,7773800
2020-02-25,53.029999,53.330002,50.549999,50.720001,43.910713,10564600
2020-02-26,51.189999,51.450001,49.650002,49.66,42.993023,12018000
2020-02-27,48.700001,49.580002,47.509998,47.52,41.140327,13413900
2020-02-28,46.009998,46.709999,44.91,46.439999,40.205315,24626100
2020-03-02,46.48,48.16,45.509998,48.16,41.694405,12673900
2020-03-03,47.98,49.040001,45.68,46.099998,39.910957,13197700
2020-03-04,46.57,46.799999,45.32,46.66,40.395775,12095400
2020-03-05,45.299999,45.299999,43.130001,43.779999,37.90242,12815800
2020-03-06,41.68,42.73,41.41,42.450001,36.75098,14127500
2020-03-09,38.02,39.049999,35.880001,36.32,31.443947,17811700
2020-03-10,38.439999,38.93,36.150002,38.639999,33.452484,16815700
2020-03-11,37.0,37.650002,35.529999,36.209999,31.348715,18947700
2020-03-12,33.630001,34.400002,31.02,31.610001,27.366278,20621100
2020-03-13,34.619999,37.150002,32.959999,37.099998,32.119228,20211400
2020-03-16,30.049999,35.5,30.0,32.57,28.197395,14280000
2020-03-17,33.369999,34.310001,31.24,33.720001,29.193007,16232200
2020-03-18,31.389999,33.959999,30.91,33.0,28.569672,18092700
2020-03-19,32.330002,33.93,31.07,33.209999,28.751474,16042700
2020-03-20,33.880001,33.93,31.049999,32.57,28.197395,20375900
2020-03-23,31.76,32.25,28.59,28.93,25.046072,13417600
2020-03-24,30.879999,31.5,29.76,31.200001,27.011322,14752200
2020-03-25,31.4,33.740002,29.99,32.029999,27.729891,17018600
2020-03-26,32.380001,36.720001,32.23,36.18,31.322744,16014300
2020-03-27,34.459999,37.189999,34.169998,35.77,30.967783,11470300
2020-03-30,35.0,36.099998,34.009998,35.869999,31.423323,9825600
2020-03-31,35.439999,36.369999,33.919998,34.450001,30.179363,11034500
2020-04-01,32.529999,33.0,31.26,31.93,27.971758,11203900
2020-04-02,31.6,33.080002,31.450001,32.669998,28.620016,8497600
2020-04-03,32.419998,32.880001,30.780001,31.190001,27.32349,7148800
2020-04-06,33.169998,34.709999,33.0,34.369999,30.109276,9205000
2020-04-07,36.720001,36.889999,34.34,34.450001,30.179363,8122100
2020-04-08,34.959999,35.900002,34.380001,35.650002,31.230606,7236600
2020-04-09,36.709999,38.779999,36.43,38.049999,33.33308,10116700
2020-04-13,38.0,38.09,36.330002,36.790001,32.229279,7678300
2020-04-14,37.689999,37.689999,35.25,35.799999,31.362003,7781800
2020-04-15,35.130001,35.5,32.810001,33.330002,29.198202,11726400
2020-04-16,33.02,33.639999,31.4,31.780001,27.840353,10664600
2020-04-17,33.080002,35.290001,33.080002,35.060001,30.713739,10757200
2020-04-20,34.0,35.23,33.439999,34.25,30.004154,10342000
2020-04-21,33.0,33.560001,32.400002,32.73,28.672583,11434400
2020-04-22,33.509998,33.779999,32.93,33.25,29.128119,7240400
2020-04-23,33.610001,34.419998,33.189999,33.369999,29.233244,7311800
2020-04-24,33.669998,34.299999,32.869999,34.0,29.785143,7682200
2020-04-27,34.41,36.16,34.25,35.880001,31.432087,8306800
2020-04-28,37.240002,37.98,36.57,36.650002,32.106632,6988800
2020-04-29,37.990002,38.939999,37.169998,38.459999,33.692253,7844200
2020-04-30,37.389999,37.450001,36.189999,36.5,31.975224,7796400
2020-05-01,35.709999,35.82,34.650002,34.939999,30.608604,6554300
2020-05-04,34.330002,34.700001,33.830002,34.470001,30.196884,5988300
2020-05-05,34.959999,35.240002,33.450001,33.540001,29.382166,7305200
2020-05-06,33.849998,34.099998,33.029999,33.209999,29.093075,9640400
2020-05-07,33.709999,34.970001,33.689999,34.200001,29.960356,6983600
2020-05-08,35.0,35.419998,34.41,34.75,30.442167,5617700
2020-05-11,34.060001,34.16,33.029999,33.349998,29.215717,7158300
2020-05-12,33.529999,33.529999,31.610001,31.65,27.726461,11626300
2020-05-13,31.4,31.469999,29.049999,29.450001,25.799189,15304800
2020-05-14,28.860001,31.27,28.360001,31.17,27.305969,14770900
2020-05-15,30.790001,31.129999,30.120001,30.68,26.876711,12087500
2020-05-18,32.119999,33.169998,31.84,32.959999,28.874071,9197800
2020-05-19,32.57,32.849998,31.809999,31.99,28.024315,7533600
2020-05-20,32.599998,33.259998,32.57,33.060001,28.961672,10122500
2020-05-21,32.849998,33.349998,32.73,32.919998,28.839027,5890500
2020-05-22,32.900002,33.009998,32.209999,32.93,28.847788,5534000
2020-05-26,34.490002,36.279999,34.419998,35.830002,31.388292,11156600
2020-05-27,37.990002,38.650002,36.700001,37.619999,32.956383,9938900
2020-05-28,38.09,38.16,36.389999,36.509998,31.983986,9030100
2020-05-29,35.860001,36.490002,35.419998,35.560001,31.151758,18241700
2020-06-01,35.790001,37.049999,35.610001,36.689999,32.14167,6594300
2020-06-02,37.299999,37.52,36.34,36.619999,32.080349,6596500
2020-06-03,37.650002,38.869999,37.529999,38.68,33.884979,9656100
2020-06-04,38.68,40.09,38.049999,40.07,35.102665,9142500
2020-06-05,43.5,44.259998,41.740002,42.369999,37.117546,12586800
2020-06-08,42.950001,43.939999,42.419998,43.509998,38.116215,10445800
2020-06-09,41.880001,42.549999,41.34,42.099998,36.881016,7580400
2020-06-10,41.549999,41.759998,39.18,39.32,34.445648,11590200
2020-06-11,36.650002,37.689999,36.060001,36.139999,31.659863,16095900
