Date,IBKR - GS Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,-1.92178338579467e-08
2019-01-04,1.979258500061607e-06
2019-01-05,1.9003413909764687e-06
2019-01-06,1.8214242818909613e-06
2019-01-07,1.1291677960850099e-05
2019-01-08,1.2090442089209907e-05
2019-01-09,1.4199132481100337e-05
2019-01-10,1.3466662526505953e-05
2019-01-11,1.526383713602954e-05
2019-01-12,1.5600029095363264e-05
2019-01-13,1.593622105469729e-05
2019-01-14,1.2562058958590801e-05
2019-01-15,4.164492530252949e-06
2019-01-16,-3.90858543713554e-05
2019-01-17,-7.322673663842096e-05
2019-01-18,-0.00011988305501228037
2019-01-19,-0.0001193226998285807
2019-01-20,-0.0001187623446448812
2019-01-21,-0.00011820198946118084
2019-01-22,-1.8747887643111325e-05
2019-01-23,3.9512477986535894e-05
2019-01-24,5.976693994152931e-05
2019-01-25,1.3566706822684677e-05
2019-01-26,1.4578981290886258e-05
2019-01-27,1.559125575908788e-05
2019-01-28,4.1930265207711735e-05
2019-01-29,2.691236004947117e-06
2019-01-30,7.347472473667106e-06
2019-01-31,3.856671509959912e-05
2019-02-01,7.32971221601475e-05
2019-02-02,7.433506460806732e-05
2019-02-03,7.537300705598786e-05
2019-02-04,5.117049543931647e-05
2019-02-05,2.3171014518283913e-05
2019-02-06,3.613903902521387e-05
2019-02-07,7.020267330143655e-05
2019-02-08,7.132811707612246e-05
2019-02-09,7.214554164239946e-05
2019-02-10,7.296296620867599e-05
2019-02-11,6.045234121038128e-05
2019-02-12,4.130652287762501e-05
2019-02-13,4.386493645968485e-06
2019-02-14,5.017478933323335e-06
2019-02-15,-8.678821238475418e-06
2019-02-16,-8.036727019955084e-06
2019-02-17,-7.394632801435496e-06
2019-02-18,-6.752538582916098e-06
2019-02-19,-4.9738185523235375e-05
2019-02-20,-4.4151305182913715e-05
2019-02-21,-7.787178266757069e-05
2019-02-22,-9.835822621247427e-05
2019-02-23,-9.813533574037171e-05
2019-02-24,-9.791244526826863e-05
2019-02-25,-0.00011504642198058272
2019-02-26,-7.308729679275785e-05
2019-02-27,-6.683388835348694e-05
2019-02-28,-5.9345127614280575e-05
2019-03-01,-6.545829346335055e-05
2019-03-02,-6.510123641224354e-05
2019-03-03,-6.474417936113628e-05
2019-03-04,-3.798523125961367e-05
2019-03-05,-1.680344993282715e-05
2019-03-06,-1.8360874276406988e-05
2019-03-07,-1.2258222994207935e-05
2019-03-08,2.047643838026686e-05
2019-03-09,2.118440615487993e-05
2019-03-10,2.1892373929493055e-05
2019-03-11,-2.059628157232421e-05
2019-03-12,-2.8886320520878618e-05
2019-03-13,-2.7423992323544206e-05
2019-03-14,-3.5928429446663925e-05
2019-03-15,-3.0856124513290334e-05
2019-03-16,-3.0331990202972824e-05
2019-03-17,-2.9807855892654575e-05
2019-03-18,-5.270226385063142e-05
2019-03-19,-2.4413874815072194e-05
2019-03-20,1.4019539407200536e-05
2019-03-21,4.53288997940367e-05
2019-03-22,0.00010092234101785
2019-03-23,0.0001017137715375433
2019-03-24,0.00010250520205723726
2019-03-25,0.0001107820408635008
2019-03-26,8.543686744675859e-05
2019-03-27,8.84151974945005e-05
2019-03-28,6.595298464331996e-05
2019-03-29,6.244005899172124e-05
2019-03-30,6.308861913947568e-05
2019-03-31,6.37371792872308e-05
2019-04-01,1.2541456435324738e-05
2019-04-02,-1.6094181419750965e-06
2019-04-03,3.842979929711299e-05
2019-04-04,8.216591484381619e-06
2019-04-05,5.6566034089933594e-06
2019-04-06,6.316604870217605e-06
2019-04-07,6.976606331441824e-06
2019-04-08,3.5300442689621415e-06
2019-04-09,2.1627175407768065e-05
2019-04-10,2.832108226454922e-05
2019-04-11,2.9444296099006328e-05
2019-04-12,-1.61237066210299e-05
2019-04-13,-1.5390210348971667e-05
2019-04-14,-1.4656714076912553e-05
2019-04-15,-1.6190369360154887e-05
2019-04-16,-3.957939582869369e-05
2019-04-17,-4.61873411358206e-06
2019-04-18,-2.697433189533398e-05
2019-04-19,-2.6368955567319203e-05
2019-04-20,-2.5763579239304352e-05
2019-04-21,-2.515820291128875e-05
2019-04-22,-2.3200979519748137e-05
2019-04-23,-2.6689962080966287e-05
2019-04-24,-3.066839082392395e-06
2019-04-25,-1.235412353111883e-05
2019-04-26,-2.317936948503563e-06
2019-04-27,-1.6930770585644843e-06
2019-04-28,-1.0682171686260834e-06
2019-04-29,-1.943901388663828e-05
2019-04-30,-3.7710653330217363e-06
2019-05-01,-3.351499859887665e-05
2019-05-02,-5.1269660068157406e-05
2019-05-03,-7.243409728633049e-05
2019-05-04,-7.200221062891469e-05
2019-05-05,-7.157032397149867e-05
2019-05-06,-0.00012941842656270629
2019-05-07,-9.630856463314509e-05
2019-05-08,-8.265018761506189e-05
2019-05-09,-7.38810681378375e-05
2019-05-10,-8.526980157913983e-05
