Date,IBKR - HDB Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,5.660811669765656e-08
2019-01-04,6.741014845770496e-06
2019-01-05,6.680412178415681e-06
2019-01-06,6.619809511060722e-06
2019-01-07,3.894989287215353e-06
2019-01-08,2.30467504087152e-06
2019-01-09,4.343574549816696e-06
2019-01-10,6.233497084776454e-06
2019-01-11,4.301201736831325e-06
2019-01-12,4.328296184812942e-06
2019-01-13,4.355390632794639e-06
2019-01-14,1.3151847710246288e-05
2019-01-15,9.52168374364916e-06
2019-01-16,1.2236335023306954e-05
2019-01-17,1.4661932122269586e-05
2019-01-18,1.8141297812174215e-05
2019-01-19,1.8064480119203463e-05
2019-01-20,1.7987662426232705e-05
2019-01-21,1.7910844733261913e-05
2019-01-22,9.029012091391528e-06
2019-01-23,6.333141348767257e-06
2019-01-24,9.409967999476544e-06
2019-01-25,2.322306077018125e-05
2019-01-26,2.312134342410036e-05
2019-01-27,2.301962607801909e-05
2019-01-28,2.368792673016793e-05
2019-01-29,5.820424538293129e-05
2019-01-30,5.7713324606715044e-05
2019-01-31,2.820119810800516e-05
2019-02-01,6.439215834071364e-06
2019-02-02,6.376880019930846e-06
2019-02-03,6.314544205790543e-06
2019-02-04,1.4925041936436322e-05
2019-02-05,1.9147607532759494e-05
2019-02-06,1.3172282988400024e-05
2019-02-07,3.504629842540558e-06
2019-02-08,9.176669883746238e-06
2019-02-09,9.135382485147866e-06
2019-02-10,9.09409508654975e-06
2019-02-11,1.3637946010749722e-05
2019-02-12,5.955985727977199e-06
2019-02-13,1.8923146353882404e-05
2019-02-14,2.3415132826097498e-05
2019-02-15,2.6337080991689645e-05
2019-02-16,2.6171068177447483e-05
2019-02-17,2.60050553632056e-05
2019-02-18,2.583904254896371e-05
2019-02-19,4.6185070914725046e-05
2019-02-20,4.509252104472776e-05
2019-02-21,5.9360970049543724e-05
2019-02-22,6.836684355615841e-05
2019-02-23,6.80735791983825e-05
2019-02-24,6.778031484060684e-05
2019-02-25,8.741276939828741e-05
2019-02-26,6.888978160587808e-05
2019-02-27,6.398731196610765e-05
2019-02-28,6.287686644992972e-05
2019-03-01,6.367078262840921e-05
2019-03-02,6.341738670462407e-05
2019-03-03,6.316399078083879e-05
2019-03-04,5.112334875805282e-05
2019-03-05,4.2918968007389555e-05
2019-03-06,4.259241436035917e-05
2019-03-07,4.202525865049104e-05
2019-03-08,3.118122406337443e-05
2019-03-09,3.124604731524194e-05
2019-03-10,3.1310870567109405e-05
2019-03-11,2.0744471349016157e-05
2019-03-12,1.6582031752115746e-05
2019-03-13,1.463298408090114e-05
2019-03-14,1.0052460638465592e-05
2019-03-15,1.2332865071779892e-05
2019-03-16,1.266625382446105e-05
2019-03-17,1.2999642577142638e-05
2019-03-18,-2.2494374555800795e-06
2019-03-19,1.6179718335420415e-05
2019-03-20,3.5739635638663704e-05
2019-03-21,6.945528219940899e-05
2019-03-22,0.0001138634685328219
2019-03-23,0.0001143849920409373
2019-03-24,0.00011490651554905167
2019-03-25,0.00012327450111301836
2019-03-26,7.480333421114862e-05
2019-03-27,8.053047472260263e-05
2019-03-28,6.095585380109927e-05
2019-03-29,4.4303012658567295e-05
2019-03-30,4.490010620074687e-05
2019-03-31,4.549719974292683e-05
2019-04-01,-2.146756240987681e-06
2019-04-02,-1.7179831034629434e-05
2019-04-03,2.7653809418257437e-05
2019-04-04,1.0017652941770167e-05
2019-04-05,7.722741322927745e-06
2019-04-06,8.170352348606744e-06
2019-04-07,8.617963374285465e-06
2019-04-08,6.203691179810544e-06
2019-04-09,1.8398849187562637e-05
2019-04-10,3.110055221185747e-05
2019-04-11,3.204020675229764e-05
2019-04-12,8.097817654225947e-06
2019-04-13,8.49273429812012e-06
2019-04-14,8.887650942014786e-06
2019-04-15,1.7972688021682104e-06
2019-04-16,-1.8704285477354595e-05
2019-04-17,1.0479017753011964e-05
2019-04-18,-7.794560843838524e-06
2019-04-19,-7.325361434215024e-06
2019-04-20,-6.856162024591579e-06
2019-04-21,-6.3869626149674795e-06
2019-04-22,-4.682715775529986e-06
2019-04-23,-6.8891816865017144e-06
2019-04-24,8.789083266368173e-06
2019-04-25,2.839941024226967e-06
2019-04-26,1.219216616272484e-05
2019-04-27,1.2660040558554058e-05
2019-04-28,1.3127914954382442e-05
2019-04-29,3.413149778841967e-06
2019-04-30,1.3384744390858869e-05
2019-05-01,-1.2793490912008321e-05
2019-05-02,-2.8570733519766594e-05
2019-05-03,-5.301567839816449e-05
2019-05-04,-5.245809808136488e-05
2019-05-05,-5.1900517764565354e-05
2019-05-06,-0.00011503898493471235
2019-05-07,-7.552888576124099e-05
2019-05-08,-6.360167791223998e-05
2019-05-09,-5.482706820295881e-05
2019-05-10,-6.500405867002147e-05
2019-05-11,-6.455012105908436e-05
2019-05-12,-6.409618344814753e-05
