Date,MS - HDB Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,8.861033457953538e-08
2019-01-04,4.364781814358693e-06
2019-01-05,4.3222001063645664e-06
2019-01-06,4.279618398370346e-06
2019-01-07,3.359812865453691e-06
2019-01-08,5.042513938482663e-06
2019-01-09,2.952927856024245e-06
2019-01-10,2.0269446544956612e-06
2019-01-11,2.0339537176974326e-06
2019-01-12,1.9135502648386352e-06
2019-01-13,1.7931468119798353e-06
2019-01-14,-8.640696166633647e-07
2019-01-15,8.201912075764749e-06
2019-01-16,1.391487177516188e-05
2019-01-17,1.1739165350376597e-05
2019-01-18,1.6669814092241914e-05
2019-01-19,1.6518470720927335e-05
2019-01-20,1.636712734961276e-05
2019-01-21,1.6215783978298194e-05
2019-01-22,4.122713395634762e-06
2019-01-23,-3.3394994290422707e-06
2019-01-24,-8.057547627011432e-06
2019-01-25,2.4203387540386587e-06
2019-01-26,2.0222647892094104e-06
2019-01-27,1.624190824380379e-06
2019-01-28,-7.775745773625288e-06
2019-01-29,-1.7570572881076544e-05
2019-01-30,-1.5198921631875098e-05
2019-01-31,-1.5286358056633732e-05
2019-02-01,-2.0407215454045477e-05
2019-02-02,-2.0764841784858893e-05
2019-02-03,-2.112246811567238e-05
2019-02-04,-1.3174603633523621e-05
2019-02-05,-1.1228602712415317e-05
2019-02-06,-1.1050290157303536e-05
2019-02-07,-1.948362701789538e-05
2019-02-08,-2.616612998563255e-05
2019-02-09,-2.6401515835498895e-05
2019-02-10,-2.6636901685365432e-05
2019-02-11,-3.3569992328907444e-05
2019-02-12,-2.9113844986356192e-05
2019-02-13,-2.8552048842807925e-05
2019-02-14,-3.1461984554121284e-05
2019-02-15,-1.813299273491504e-05
2019-02-16,-1.842329554695437e-05
2019-02-17,-1.87135983589935e-05
2019-02-18,-1.9003901171032627e-05
2019-02-19,-1.9343423736929792e-05
2019-02-20,-1.3926363025899589e-05
2019-02-21,-1.898981223370814e-05
2019-02-22,-2.1061149079292043e-05
2019-02-23,-2.1339518425523803e-05
2019-02-24,-2.161788777175536e-05
2019-02-25,-1.7415459250873562e-05
2019-02-26,-1.7238988394711285e-05
2019-02-27,-1.6852318439445525e-05
2019-02-28,-2.185524857234232e-05
2019-03-01,-1.7793437286542927e-05
2019-03-02,-1.808684974939816e-05
2019-03-03,-1.838026221225346e-05
2019-03-04,-2.393005492877846e-05
2019-03-05,-2.5053754914536426e-05
2019-03-06,-2.6935490222426714e-05
2019-03-07,-2.875352232962187e-05
2019-03-08,-3.056984210155171e-05
2019-03-09,-3.05894456673649e-05
2019-03-10,-3.06090492331781e-05
2019-03-11,-3.386741523061585e-05
2019-03-12,-3.555183084884335e-05
2019-03-13,-3.898503939863061e-05
2019-03-14,-4.2361962554036277e-05
2019-03-15,-4.876434078989639e-05
2019-03-16,-4.83731924158183e-05
2019-03-17,-4.798204404174019e-05
2019-03-18,-5.5329637242813454e-05
2019-03-19,-5.723004543207562e-05
2019-03-20,-3.5602426748702235e-05
2019-03-21,-3.7364777479166134e-05
2019-03-22,-1.013047693307601e-05
2019-03-23,-9.65600371571695e-06
2019-03-24,-9.181530498357978e-06
2019-03-25,-1.8964757749016098e-07
2019-03-26,-1.839539920435266e-05
2019-03-27,-4.75377847655364e-06
2019-03-28,-1.4767935347193229e-05
2019-03-29,-2.2946549862643235e-05
2019-03-30,-2.228382323072318e-05
2019-03-31,-2.162109659880307e-05
2019-04-01,-5.315920386800502e-05
2019-04-02,-5.593999512754136e-05
2019-04-03,-7.174943343090886e-05
2019-04-04,-8.783816841220529e-05
2019-04-05,-8.595155838578961e-05
2019-04-06,-8.548593229491949e-05
2019-04-07,-8.502030620404852e-05
2019-04-08,-8.627711864008293e-05
2019-04-09,-7.235333135867703e-05
2019-04-10,-7.868348445032414e-05
2019-04-11,-8.467246076804139e-05
2019-04-12,-0.00011347695413552116
2019-04-13,-0.00011312593428891191
2019-04-14,-0.00011277491444230305
2019-04-15,-9.637811871541662e-05
2019-04-16,-0.00010517583849323395
2019-04-17,-0.0001302983860872878
2019-04-18,-0.00011021407985545246
2019-04-19,-0.0001097504568134116
2019-04-20,-0.00010928683377136935
2019-04-21,-0.00010882321072932848
2019-04-22,-0.00011010554377467521
2019-04-23,-0.00011874952851334954
2019-04-24,-0.00010337791160109303
2019-04-25,-0.0001107800098121025
2019-04-26,-0.00011901628031354771
2019-04-27,-0.00011860621820610903
2019-04-28,-0.0001181961560986694
2019-04-29,-0.00013498417335769917
2019-04-30,-0.0001296672531864202
2019-05-01,-0.00010144265885734334
2019-05-02,-8.065791906069441e-05
2019-05-03,-8.164968707638516e-05
2019-05-04,-8.098193810331423e-05
2019-05-05,-8.031418913024334e-05
2019-05-06,-8.265678496215534e-05
2019-05-07,-6.484736710798087e-05
2019-05-08,-7.131810693577597e-05
