Date,MS - IBKR Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,2.906545896946936e-08
2019-01-04,-2.138840550598547e-06
2019-01-05,-2.039408033297533e-06
2019-01-06,-1.9399755159964134e-06
2019-01-07,-1.389228561090406e-05
2019-01-08,-1.513284140096517e-05
2019-01-09,-1.802680484920176e-05
2019-01-10,-1.6596066088462975e-05
2019-01-11,-2.0400338043989493e-05
2019-01-12,-2.079298303374663e-05
2019-01-13,-2.1185628023503622e-05
2019-01-14,-1.4752060584879965e-05
2019-01-15,-4.116937089145314e-06
2019-01-16,1.65399251770607e-05
2019-01-17,2.4344162388241704e-05
2019-01-18,3.8147702875319944e-05
2019-01-19,3.803060673879533e-05
2019-01-20,3.791351060227067e-05
2019-01-21,3.7796414465745675e-05
2019-01-22,3.185042664176087e-06
2019-01-23,-1.3941790194808666e-05
2019-01-24,-2.143026465771439e-05
2019-01-25,5.014977931358e-06
2019-01-26,4.366325114595895e-06
2019-01-27,3.7176722978337894e-06
2019-01-28,-9.098128177629751e-06
2019-01-29,-3.750873831051134e-06
2019-01-30,-2.0702325442439374e-06
2019-01-31,-1.4175223422947375e-05
2019-02-01,-2.9524241260344568e-05
2019-02-02,-3.0205604515002265e-05
2019-02-03,-3.088696776966005e-05
2019-02-04,-1.3970131507101632e-05
2019-02-05,-8.787178593184331e-06
2019-02-06,-1.1896208463329812e-05
2019-02-07,-3.1967904137037503e-05
2019-02-08,-4.6650739217661735e-05
2019-02-09,-4.7098327163547374e-05
2019-02-10,-4.7545915109433454e-05
2019-02-11,-6.253300995747608e-05
2019-02-12,-4.9596364121480984e-05
2019-02-13,-5.176138643388602e-05
2019-02-14,-5.5203004788983954e-05
2019-02-15,-4.889621688890058e-05
2019-02-16,-4.905746154197026e-05
2019-02-17,-4.921870619503979e-05
2019-02-18,-4.937995084810932e-05
2019-02-19,-4.5606834831417005e-05
2019-02-20,-4.6887096397546595e-05
2019-02-21,-4.12738131949776e-05
2019-02-22,-3.8548120115895574e-05
2019-02-23,-3.8247516204455356e-05
2019-02-24,-3.7946912293015355e-05
2019-02-25,-4.2205896680716515e-05
2019-02-26,-4.8668659546628306e-05
2019-02-27,-5.071174474463753e-05
2019-02-28,-4.750720183421917e-05
2019-03-01,-5.011711601572323e-05
2019-03-02,-4.9989438530206043e-05
2019-03-03,-4.986176104468886e-05
2019-03-04,-4.949424832034332e-05
2019-03-05,-4.9543721628536464e-05
2019-03-06,-5.064625732203288e-05
2019-03-07,-5.159012440730539e-05
2019-03-08,-4.284365369903894e-05
2019-03-09,-4.311269548912768e-05
2019-03-10,-4.338173727921631e-05
2019-03-11,-4.422751599025022e-05
2019-03-12,-4.411545523751193e-05
2019-03-13,-4.3283303677283175e-05
2019-03-14,-4.22341103010159e-05
2019-03-15,-4.2276241189346496e-05
2019-03-16,-4.24314630801794e-05
2019-03-17,-4.2586684971012455e-05
2019-03-18,-3.6801107676746055e-05
2019-03-19,-4.497909912074493e-05
2019-03-20,-5.7347995630666526e-05
2019-03-21,-6.203914609384868e-05
2019-03-22,-9.26081786955944e-05
2019-03-23,-9.31940984042306e-05
2019-03-24,-9.378001811286686e-05
2019-03-25,-0.00010522969923860802
2019-03-26,-9.432042671036918e-05
2019-03-27,-0.000106947112342922
2019-03-28,-0.00010212766553973966
2019-03-29,-9.8303401801311e-05
2019-03-30,-9.86758232700842e-05
2019-03-31,-9.90482447388574e-05
2019-04-01,-8.31353395794809e-05
2019-04-02,-7.973890385194502e-05
2019-04-03,-8.770673822043574e-05
2019-04-04,-7.345161268531946e-05
2019-04-05,-7.28363651770029e-05
2019-04-06,-7.319342555569595e-05
2019-04-07,-7.355048593438913e-05
2019-04-08,-7.199448682295112e-05
2019-04-09,-8.187263508801029e-05
2019-04-10,-8.354260140783184e-05
2019-04-11,-8.040389565733824e-05
2019-04-12,-5.045425385483026e-05
2019-04-13,-5.091858070745878e-05
2019-04-14,-5.138290756008768e-05
2019-04-15,-4.8734293657517795e-05
2019-04-16,-3.2347633144943524e-05
2019-04-17,-5.824813016130272e-05
2019-04-18,-4.2950961273452365e-05
2019-04-19,-4.338632120727883e-05
2019-04-20,-4.382168114110529e-05
2019-04-21,-4.425704107493226e-05
2019-04-22,-4.567242581230117e-05
2019-04-23,-4.309429889948271e-05
2019-04-24,-5.925204536958834e-05
2019-04-25,-5.2786122756211675e-05
2019-04-26,-5.988345383580238e-05
2019-04-27,-6.044805902407606e-05
2019-04-28,-6.101266421234916e-05
2019-04-29,-4.709986482661054e-05
2019-04-30,-5.952556739182899e-05
2019-05-01,-3.847678708669734e-05
2019-05-02,-2.5823995273925578e-05
2019-05-03,-9.525861499999066e-06
2019-05-04,-9.751584878654537e-06
2019-05-05,-9.977308257309953e-06
2019-05-06,3.1760293950272795e-05
2019-05-07,1.4981706118961606e-05
