Date,UBS - BCS Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,5.898089313925638e-09
2019-01-04,-4.790179429882988e-06
2019-01-05,-4.6416377615800344e-06
2019-01-06,-4.493096093276783e-06
2019-01-07,-6.1360898637375105e-06
2019-01-08,-4.9248247092673935e-06
2019-01-09,-2.7919228382227933e-06
2019-01-10,-4.945455534964267e-06
2019-01-11,-9.365657940306401e-06
2019-01-12,-9.106970970341994e-06
2019-01-13,-8.848284000378127e-06
2019-01-14,-3.5104665741878564e-06
2019-01-15,-3.0977619268806165e-06
2019-01-16,-1.6184049830066966e-05
2019-01-17,-9.688994473323947e-06
2019-01-18,-7.528339663771393e-07
2019-01-19,-2.649048068369944e-07
2019-01-20,2.2302435270350285e-07
2019-01-21,7.109535122436003e-07
2019-01-22,5.634074876235024e-05
2019-01-23,4.985224087703892e-05
2019-01-24,4.702105779836368e-05
2019-01-25,5.07255744803455e-05
2019-01-26,5.1279281847347464e-05
2019-01-27,5.1832989214349195e-05
2019-01-28,5.233422931389855e-05
2019-01-29,5.5348104341129825e-05
2019-01-30,3.8301868177816453e-05
2019-01-31,5.566680079186261e-05
2019-02-01,6.120575792452813e-05
2019-02-02,6.158081766127167e-05
2019-02-03,6.195587739801531e-05
2019-02-04,6.608233374815534e-05
2019-02-05,5.161901534853789e-05
2019-02-06,5.4510744261374574e-05
2019-02-07,6.773640145261752e-05
2019-02-08,7.36303465566223e-05
2019-02-09,7.393940301571155e-05
2019-02-10,7.424845947480073e-05
2019-02-11,7.460451008254001e-05
2019-02-12,6.765070595333768e-05
2019-02-13,6.238234910151393e-05
2019-02-14,7.477363001018748e-05
2019-02-15,5.9971502378494916e-05
2019-02-16,6.029430959815561e-05
2019-02-17,6.0617116817816616e-05
2019-02-18,6.0939924037477686e-05
2019-02-19,6.521335963883773e-05
2019-02-20,0.00010336299734362426
2019-02-21,0.00011651747559110562
2019-02-22,0.00012762173140930147
2019-02-23,0.00012797543560921253
2019-02-24,0.00012832913980912342
2019-02-25,0.00011482476628626439
2019-02-26,8.819105506281673e-05
2019-02-27,7.766690435461478e-05
2019-02-28,8.064922661025649e-05
2019-03-01,7.837468477317491e-05
2019-03-02,7.892554465685371e-05
2019-03-03,7.947640454053262e-05
2019-03-04,8.800523990779916e-05
2019-03-05,0.00010214375403711506
2019-03-06,0.00012181073114166853
2019-03-07,0.0001753556739783683
2019-03-08,0.00019665280547893687
2019-03-09,0.0001971152025501371
2019-03-10,0.00019757759962133687
2019-03-11,0.00016869935688444644
2019-03-12,0.00016103610630483544
2019-03-13,0.00013356212938370513
2019-03-14,0.00012766415409977747
2019-03-15,0.0001298203495982921
2019-03-16,0.00013052455402375442
2019-03-17,0.000131228758449217
2019-03-18,9.478068963642468e-05
2019-03-19,8.444743626904734e-05
2019-03-20,0.00012952280448922987
2019-03-21,0.0001552985528482367
2019-03-22,0.0002042554937596127
2019-03-23,0.00020465301556912884
2019-03-24,0.0002050505373786454
2019-03-25,0.00021256666088818432
2019-03-26,0.0002100041264354186
2019-03-27,0.0001907825806181435
2019-03-28,0.0002171527816838195
2019-03-29,0.00021427297227363327
2019-03-30,0.00021455168836599276
2019-03-31,0.00021483040445835163
2019-04-01,0.00017037360056688748
2019-04-02,0.00016455242993045646
2019-04-03,0.00014117750476397246
2019-04-04,0.0001367792178354603
2019-04-05,0.00014572421450173207
2019-04-06,0.00014622568047793877
2019-04-07,0.00014672714645414564
2019-04-08,0.00015056504830362574
2019-04-09,0.000155403981850279
2019-04-10,0.00015664595952869848
2019-04-11,0.00012902472547034557
2019-04-12,0.00011118957074400727
2019-04-13,0.00011178995996098333
2019-04-14,0.0001123903491779593
2019-04-15,0.00010332631791672672
2019-04-16,7.965899386221899e-05
2019-04-17,5.5567919628601486e-05
2019-04-18,6.260135646964516e-05
2019-04-19,6.32138299495231e-05
2019-04-20,6.382630342940113e-05
2019-04-21,6.443877690927905e-05
2019-04-22,6.42575497838081e-05
2019-04-23,8.261444343640868e-05
2019-04-24,7.513232959066106e-05
2019-04-25,6.219503937376295e-05
2019-04-26,6.45250732856486e-05
2019-04-27,6.490792961020051e-05
2019-04-28,6.529078593475232e-05
2019-04-29,5.0974464414271786e-05
2019-04-30,6.079295322599865e-05
2019-05-01,7.451984938367004e-05
2019-05-02,6.680108813842147e-05
2019-05-03,7.365600212140737e-05
2019-05-04,7.418679366980036e-05
2019-05-05,7.471758521819394e-05
2019-05-06,0.00015495570707743422
2019-05-07,0.0002030673478403256
2019-05-08,0.00020203660800142227
2019-05-09,0.00021846366215687708
2019-05-10,0.00020951043824660181
2019-05-11,0.00020995048040636918
2019-05-12,0.00021039052256613698
2019-05-13,0.0002742669256121822
2019-05-14,0.00025158805034529344
2019-05-15,0.000244700435028643
2019-05-16,0.0002262547246915454
2019-05-17,0.00025494373856910983
