Date,UBS - BMO Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,-4.402733096946868e-08
2019-01-04,-3.0282509827134035e-06
2019-01-05,-3.011666559432935e-06
2019-01-06,-2.995082136152615e-06
2019-01-07,-4.438258030739585e-06
2019-01-08,-1.8714111895468633e-07
2019-01-09,8.518182487395358e-06
2019-01-10,3.5947280579435143e-06
2019-01-11,-2.191587463318561e-07
2019-01-12,-9.789081189651848e-08
2019-01-13,2.3377122539063074e-08
2019-01-14,-5.411614417272185e-06
2019-01-15,4.70279941825065e-06
2019-01-16,-8.01835433530682e-06
2019-01-17,3.8992950494280365e-06
2019-01-18,4.278301348539704e-06
2019-01-19,4.50125921514306e-06
2019-01-20,4.72421708174544e-06
2019-01-21,4.947174948348721e-06
2019-01-22,6.426889677001955e-05
2019-01-23,5.435680281071711e-05
2019-01-24,5.38516030077417e-05
2019-01-25,5.7050721513878745e-05
2019-01-26,5.7472358413287935e-05
2019-01-27,5.78939953126975e-05
2019-01-28,6.141417894756264e-05
2019-01-29,6.576702450878421e-05
2019-01-30,5.213826660657878e-05
2019-01-31,7.311027944119342e-05
2019-02-01,8.345658910884749e-05
2019-02-02,8.394120869894848e-05
2019-02-03,8.44258282890493e-05
2019-02-04,9.007222074495881e-05
2019-02-05,7.010509738037787e-05
2019-02-06,7.226901460879548e-05
2019-02-07,9.468672036531733e-05
2019-02-08,0.00010433200541815737
2019-02-09,0.00010485719123568331
2019-02-10,0.00010538237705320916
2019-02-11,0.00010509592839890778
2019-02-12,9.20398221989502e-05
2019-02-13,8.260734715409153e-05
2019-02-14,0.00010744266812891735
2019-02-15,7.935426591604827e-05
2019-02-16,7.987175778703689e-05
2019-02-17,8.038924965802606e-05
2019-02-18,8.090674152901528e-05
2019-02-19,8.530168095273284e-05
2019-02-20,0.00014096721376874872
2019-02-21,0.00016230632841896813
2019-02-22,0.00015730425969448956
2019-02-23,0.00015809706111141923
2019-02-24,0.00015888986252834847
2019-02-25,0.0001431591087141231
2019-02-26,0.00011471899146464816
2019-02-27,0.00010569634902339145
2019-02-28,0.00010405556789454162
2019-03-01,9.918519857217054e-05
2019-03-02,0.00010003308835708583
2019-03-03,0.00010088097814200135
2019-03-04,0.00011428815893557472
2019-03-05,0.00013798316800563932
2019-03-06,0.00016184519293060902
2019-03-07,0.00022285290523371177
2019-03-08,0.00023941072886147398
2019-03-09,0.00024045622433721347
2019-03-10,0.00024150171981295198
2019-03-11,0.0002150872820245533
2019-03-12,0.0002195771992281549
2019-03-13,0.0001946998413395726
2019-03-14,0.00018922432270877568
2019-03-15,0.00019238520849561243
2019-03-16,0.00019339651112575978
2019-03-17,0.00019440781375590775
2019-03-18,0.0001473928779278641
2019-03-19,0.00013945185939082921
2019-03-20,0.00018323705894971907
2019-03-21,0.00020370986251567468
2019-03-22,0.0002727077404965453
2019-03-23,0.00027365016314219264
2019-03-24,0.00027459258578783885
2019-03-25,0.0002745266011265996
2019-03-26,0.000263545295746774
2019-03-27,0.00025520816945413783
2019-03-28,0.0002648814301912488
2019-03-29,0.0002528743653547458
2019-03-30,0.0002537223833136833
2019-03-31,0.00025457040127262106
2019-04-01,0.00020397940761518446
2019-04-02,0.00020078918168315479
2019-04-03,0.00018479477585462572
2019-04-04,0.0001773782018132799
2019-04-05,0.00018331973234400064
2019-04-06,0.00018413274037743687
2019-04-07,0.00018494574841087272
2019-04-08,0.00018729762721080294
2019-04-09,0.00019179112367681124
2019-04-10,0.00019846551439656
2019-04-11,0.00016515100921311523
2019-04-12,0.00014493911047070319
2019-04-13,0.0001457322247745309
2019-04-14,0.00014652533907835879
2019-04-15,0.00013760860069613173
2019-04-16,0.0001096292710824049
2019-04-17,8.09487157463325e-05
2019-04-18,9.271396170156028e-05
2019-04-19,9.34751980873333e-05
2019-04-20,9.423643447310621e-05
2019-04-21,9.499767085887922e-05
2019-04-22,9.602572173379937e-05
2019-04-23,0.00012288337442399263
2019-04-24,0.00011165819304727677
2019-04-25,9.371826494881378e-05
2019-04-26,9.691546220234335e-05
2019-04-27,9.764901796926641e-05
2019-04-28,9.838257373618928e-05
2019-04-29,6.492107118994776e-05
2019-04-30,7.855728491962423e-05
2019-05-01,0.00010228336618039147
2019-05-02,8.80575076425201e-05
2019-05-03,9.771948956304001e-05
2019-05-04,9.847570163679547e-05
2019-05-05,9.923191371055191e-05
2019-05-06,0.000220943814103735
2019-05-07,0.0002842312553691282
2019-05-08,0.00027974836664089144
2019-05-09,0.0003107626239031856
2019-05-10,0.00031051521378081757
2019-05-11,0.0003115620334396294
2019-05-12,0.0003126088530984423
2019-05-13,0.0003842603270064448
2019-05-14,0.0003739693764961994
2019-05-15,0.0003704958537534456
2019-05-16,0.0003412432210597525
2019-05-17,0.00035401510941180314
2019-05-18,0.000355059561511366
2019-05-19,0.00035610401361092764
