Date,UBS - BNPQY Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,8.04972079923225e-09
2019-01-04,-5.5989133168716455e-06
2019-01-05,-5.423421710570754e-06
2019-01-06,-5.247930104269478e-06
2019-01-07,-9.338812945427566e-06
2019-01-08,-9.59508989353744e-06
2019-01-09,-4.980605124317326e-06
2019-01-10,-9.688097333828134e-06
2019-01-11,-1.6802969051481338e-05
2019-01-12,-1.6600816578960222e-05
2019-01-13,-1.6398664106439428e-05
2019-01-14,-1.2334379585059051e-05
2019-01-15,-1.4537711831008178e-05
2019-01-16,-1.9028381694884394e-05
2019-01-17,-3.987731181634427e-05
2019-01-18,-3.145032970386506e-05
2019-01-19,-3.1207169592194185e-05
2019-01-20,-3.096400948052335e-05
2019-01-21,-3.072084936885252e-05
2019-01-22,-7.0597976207671755e-06
2019-01-23,-9.81967176004112e-06
2019-01-24,-1.3817303603010972e-05
2019-01-25,4.1062162766167305e-06
2019-01-26,4.5245142489228564e-06
2019-01-27,4.942812221229147e-06
2019-01-28,7.521729247228123e-06
2019-01-29,8.05448323517579e-06
2019-01-30,-4.913842445636946e-06
2019-01-31,-6.404444198451433e-07
2019-02-01,2.7165460456635116e-06
2019-02-02,2.92577395639736e-06
2019-02-03,3.135001867131195e-06
2019-02-04,2.2012505363178353e-06
2019-02-05,4.781024777553172e-08
2019-02-06,3.7590425331692295e-06
2019-02-07,1.0984064953377192e-05
2019-02-08,1.346908972575548e-05
2019-02-09,1.3524837378023958e-05
2019-02-10,1.3580585030292428e-05
2019-02-11,1.2815504342044607e-05
2019-02-12,9.441362657779553e-06
2019-02-13,6.777964466753579e-06
2019-02-14,1.2693639139001857e-05
2019-02-15,4.369854331091621e-06
2019-02-16,4.639346855365184e-06
2019-02-17,4.9088393796391805e-06
2019-02-18,5.178331903913082e-06
2019-02-19,8.87843623495699e-06
2019-02-20,4.27954788319945e-05
2019-02-21,6.497528586526109e-05
2019-02-22,5.8167621633043334e-05
2019-02-23,5.856928451894278e-05
2019-02-24,5.897094740484224e-05
2019-02-25,4.229642778055178e-05
2019-02-26,2.7361091938494467e-05
2019-02-27,1.8544654554114317e-05
2019-02-28,1.2461803387953278e-05
2019-03-01,8.252977627389688e-06
2019-03-02,8.954955361436482e-06
2019-03-03,9.65693309548333e-06
2019-03-04,2.1776489945243125e-05
2019-03-05,4.240960970491237e-05
2019-03-06,5.97112615141991e-05
2019-03-07,0.00012809656606246585
2019-03-08,0.00014289606275881846
2019-03-09,0.0001434192266255568
2019-03-10,0.00014394239049229511
2019-03-11,0.00011171404005060417
2019-03-12,0.00011395927770670396
2019-03-13,8.90204534264337e-05
2019-03-14,8.660008633291481e-05
2019-03-15,8.390307251088506e-05
2019-03-16,8.4604788366959e-05
2019-03-17,8.530650422303294e-05
2019-03-18,3.658383992576793e-05
2019-03-19,3.237618446789925e-05
2019-03-20,7.052764214296413e-05
2019-03-21,9.887666175754651e-05
2019-03-22,0.000166088876214549
2019-03-23,0.00016649800926436448
2019-03-24,0.00016690714231418
2019-03-25,0.0001689752375453664
2019-03-26,0.0001694592298387159
2019-03-27,0.0001424880274440791
2019-03-28,0.0001505169883247081
2019-03-29,0.00014068677061925285
2019-03-30,0.0001411335634604537
2019-03-31,0.00014158035630165423
2019-04-01,0.00010077877225154395
2019-04-02,9.53656064747321e-05
2019-04-03,7.562740105344287e-05
2019-04-04,6.615624135507497e-05
2019-04-05,7.297572559258818e-05
2019-04-06,7.359827874020667e-05
2019-04-07,7.42208318878252e-05
2019-04-08,7.801592822738239e-05
2019-04-09,7.815176446415174e-05
2019-04-10,8.766748538608796e-05
2019-04-11,5.593677705641695e-05
2019-04-12,2.8254742013952185e-05
2019-04-13,2.9070013243655458e-05
2019-04-14,2.9885284473358717e-05
2019-04-15,1.8220174257486016e-05
2019-04-16,-1.616527448255858e-05
2019-04-17,-5.183406840932338e-05
2019-04-18,-3.725473259073362e-05
2019-04-19,-3.625457910360671e-05
2019-04-20,-3.525442561647971e-05
2019-04-21,-3.42542721293528e-05
2019-04-22,-3.342928188773854e-05
2019-04-23,-2.035076639250979e-06
2019-04-24,-1.4458800890537418e-05
2019-04-25,-3.324597881595252e-05
2019-04-26,-3.053555832189355e-05
2019-04-27,-2.9817686965392167e-05
2019-04-28,-2.9099815608890837e-05
2019-04-29,-5.913295850906915e-05
2019-04-30,-4.434085714222706e-05
2019-05-01,-1.939587684088812e-05
2019-05-02,-3.2580872494685566e-05
2019-05-03,-2.1674589324391326e-05
2019-05-04,-2.0780950206255233e-05
2019-05-05,-1.988731108811822e-05
2019-05-06,0.00011933037459597917
2019-05-07,0.0002023012564117981
2019-05-08,0.00019440261128210673
2019-05-09,0.00023597864343658493
2019-05-10,0.0002295204623818831
2019-05-11,0.00023041857208129447
2019-05-12,0.0002313166817807058
2019-05-13,0.00031699948991933025
