Date,UBS - C Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,1.469011346929248e-07
2019-01-04,-1.7914121298210135e-07
2019-01-05,6.390069295658131e-08
2019-01-06,3.069425988954537e-07
2019-01-07,-1.3440183737420193e-06
2019-01-08,-3.6314078753888393e-06
2019-01-09,6.441946649705062e-06
2019-01-10,-1.3435077918309837e-06
2019-01-11,-3.3006221266137074e-06
2019-01-12,-2.8140218082496337e-06
2019-01-13,-2.3274214898859044e-06
2019-01-14,1.854972445579164e-05
2019-01-15,5.440705682166907e-05
2019-01-16,1.4241753641141899e-05
2019-01-17,2.8624007098752632e-05
2019-01-18,1.9005700404284428e-05
2019-01-19,2.022730030814323e-05
2019-01-20,2.1448900212001922e-05
2019-01-21,2.267050011586163e-05
2019-01-22,0.00012984192601658568
2019-01-23,0.00011335448189056848
2019-01-24,0.00011507259754505787
2019-01-25,0.00012032808629829321
2019-01-26,0.00012152099662562213
2019-01-27,0.00012271390695295142
2019-01-28,0.00013533425245399817
2019-01-29,0.00013860655393565488
2019-01-30,0.00010813730720660413
2019-01-31,0.00016349137226844083
2019-02-01,0.00018105525751235905
2019-02-02,0.00018216309364586076
2019-02-03,0.0001832709297793623
2019-02-04,0.0001939379044240304
2019-02-05,0.0001532992908181845
2019-02-06,0.00016123377949155542
2019-02-07,0.0002045565952191906
2019-02-08,0.00022284415179883298
2019-02-09,0.00022375060919969754
2019-02-10,0.00022465706660056202
2019-02-11,0.00022425990032293354
2019-02-12,0.00020098489786484028
2019-02-13,0.00018491237944300186
2019-02-14,0.0002308798435191141
2019-02-15,0.00017717407946810614
2019-02-16,0.0001783561249052746
2019-02-17,0.0001795381703424444
2019-02-18,0.00018072021577961414
2019-02-19,0.00018894282882334507
2019-02-20,0.0002968131421579119
2019-02-21,0.0003312940669508223
2019-02-22,0.00033156791870837815
2019-02-23,0.000332595116593049
2019-02-24,0.0003336223144777199
2019-02-25,0.0003032376634395684
2019-02-26,0.0002714559496671819
2019-02-27,0.0002622640043114387
2019-02-28,0.0002601595900670352
2019-03-01,0.0002506956788689357
2019-03-02,0.00025184087334476367
2019-03-03,0.0002529860678205918
2019-03-04,0.0002749037209824632
2019-03-05,0.0003109027959595367
2019-03-06,0.0003423105302021888
2019-03-07,0.00042176381227261047
2019-03-08,0.00043570739011938094
2019-03-09,0.0004364382197814246
2019-03-10,0.0004371690494434671
2019-03-11,0.00039882400257350596
2019-03-12,0.00038987759387787104
2019-03-13,0.0003479627126118038
2019-03-14,0.00033635406315805417
2019-03-15,0.00033668294655857993
2019-03-16,0.0003377803718090675
2019-03-17,0.0003388777970595558
2019-03-18,0.0002582847590037162
2019-03-19,0.00024569996980448096
2019-03-20,0.00032209625295299613
2019-03-21,0.0003471587791287297
2019-03-22,0.00047463531590752
2019-03-23,0.00047524914147920294
2019-03-24,0.0004758629670508859
2019-03-25,0.0004961513647131466
2019-03-26,0.00046472443606980496
2019-03-27,0.0004566526957738342
2019-03-28,0.00043909308666955596
2019-03-29,0.00041065965458437657
2019-03-30,0.0004114501387174888
2019-03-31,0.0004122406228505999
2019-04-01,0.00031702834564485043
2019-04-02,0.0003149686973159122
2019-04-03,0.0002795595570563742
2019-04-04,0.00025872826969736867
2019-04-05,0.00027013666447505904
2019-04-06,0.0002713456870426591
2019-04-07,0.0002725547096102591
2019-04-08,0.0002773203759533393
2019-04-09,0.00028930879998922726
2019-04-10,0.00030049629656311714
2019-04-11,0.00023132979835973805
2019-04-12,0.00018881730608741372
2019-04-13,0.00019026143417399607
2019-04-14,0.0001917055622605784
2019-04-15,0.00017275759590552433
2019-04-16,0.00011108559468784767
2019-04-17,4.6648731997647526e-05
2019-04-18,6.909496982755751e-05
2019-04-19,7.082759374918933e-05
2019-04-20,7.256021767082132e-05
2019-04-21,7.42928415924533e-05
2019-04-22,7.456964626747111e-05
2019-04-23,0.0001303809811040823
2019-04-24,0.00010661089514603318
2019-04-25,6.767231049652149e-05
2019-04-26,7.462862286277165e-05
2019-04-27,7.635423921046927e-05
2019-04-28,7.807985555816659e-05
2019-04-29,6.74727999994915e-06
2019-04-30,3.743352800889517e-05
2019-05-01,9.031902343774702e-05
2019-05-02,5.993474068039732e-05
2019-05-03,7.959347272254928e-05
2019-05-04,8.142656966903642e-05
2019-05-05,8.325966661552536e-05
2019-05-06,0.0003553937990430628
2019-05-07,0.0005043385355285909
2019-05-08,0.000488293552995309
2019-05-09,0.000548772848680194
2019-05-10,0.0005417122371409671
2019-05-11,0.0005430279838999687
2019-05-12,0.0005443437306589704
2019-05-13,0.0007274180188342268
2019-05-14,0.0006994991263398907
2019-05-15,0.0007164667974040805
2019-05-16,0.0006325284201057229
2019-05-17,0.0006632578760707329
2019-05-18,0.000664278261454441
2019-05-19,0.0006652986468381493
2019-05-20,0.000657750389430905
2019-05-21,0.0006219958262574973
