Date,UBS - HDB Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,8.434243643981227e-08
2019-01-04,6.903679120273472e-06
2019-01-05,6.83991814435708e-06
2019-01-06,6.7761571684405224e-06
2019-01-07,5.224608236438351e-06
2019-01-08,9.054566211051056e-06
2019-01-09,4.288970470846447e-06
2019-01-10,4.674374635097175e-06
2019-01-11,5.350686026504157e-06
2019-01-12,5.161205169563307e-06
2019-01-13,4.97172431262245e-06
2019-01-14,-6.761003219509686e-06
2019-01-15,2.8418293649357087e-06
2019-01-16,8.295426692446134e-06
2019-01-17,1.4518584330963521e-05
2019-01-18,2.081583083455255e-05
2019-01-19,2.058946119369187e-05
2019-01-20,2.0363091552831195e-05
2019-01-21,2.0136721911970522e-05
2019-01-22,-1.9839428094814725e-06
2019-01-23,-4.969481008417934e-06
2019-01-24,-9.981379937898673e-06
2019-01-25,-9.165870545085757e-06
2019-01-26,-9.565272164823167e-06
2019-01-27,-9.964673784560313e-06
2019-01-28,-1.9365297786687346e-05
2019-01-29,-2.9789754075340787e-05
2019-01-30,-1.54737317129177e-05
2019-01-31,-2.506586867278925e-05
2019-02-01,-2.937621336931535e-05
2019-02-02,-2.9735796103400497e-05
2019-02-03,-3.0095378837485768e-05
2019-02-04,-3.3043813028807034e-05
2019-02-05,-2.0019899325808118e-05
2019-02-06,-2.040835287320519e-05
2019-02-07,-3.05758968281157e-05
2019-02-08,-3.512345868682578e-05
2019-02-09,-3.536502898792998e-05
2019-02-10,-3.5606599289033875e-05
2019-02-11,-3.5572680602318574e-05
2019-02-12,-3.081146337698021e-05
2019-02-13,-2.8799911490375016e-05
2019-02-14,-3.968888388047111e-05
2019-02-15,-2.5830215155685465e-05
2019-02-16,-2.613251865376863e-05
2019-02-17,-2.6434822151851798e-05
2019-02-18,-2.6737125649934984e-05
2019-02-19,-3.240782620595391e-05
2019-02-20,-6.66903711187263e-05
2019-02-21,-7.698965115436343e-05
2019-02-22,-7.759246047840516e-05
2019-02-23,-7.776812294275506e-05
2019-02-24,-7.794378540710525e-05
2019-02-25,-8.157101673559321e-05
2019-02-26,-7.161873331471322e-05
2019-02-27,-6.854737316831319e-05
2019-02-28,-6.956018445072246e-05
2019-03-01,-6.650358692222058e-05
2019-03-02,-6.674145911252869e-05
2019-03-03,-6.697933130283675e-05
2019-03-04,-7.148232063318837e-05
2019-03-05,-8.496972622669744e-05
2019-03-06,-9.172147711965503e-05
2019-03-07,-9.806605349392254e-05
2019-03-08,-0.0001137248754445874
2019-03-09,-0.00011357658226302978
2019-03-10,-0.00011342828908147222
2019-03-11,-0.00013905343588806448
2019-03-12,-0.00015524466159541972
2019-03-13,-0.00018455546438653062
2019-03-14,-0.00018626230645337288
2019-03-15,-0.0001936478692348613
2019-03-16,-0.00019308119509817351
2019-03-17,-0.00019251452096148575
2019-03-18,-0.00022885494935300136
2019-03-19,-0.00022949877790799834
2019-03-20,-0.00021211079391101684
2019-03-21,-0.00020159091039942975
2019-03-22,-0.00014857125420494828
2019-03-23,-0.0001479110148709089
2019-03-24,-0.00014725077553687013
2019-03-25,-0.00014187004610156587
2019-03-26,-0.0001838958730043654
2019-03-27,-0.00018649994705036455
2019-03-28,-0.00017590130545187154
2019-03-29,-0.0002140342908578042
2019-03-30,-0.00021321842703811382
2019-03-31,-0.00021240256321842284
2019-04-01,-0.0002434949683637766
2019-04-02,-0.0002459632260216639
2019-04-03,-0.0002584022145030544
2019-04-04,-0.000258314987939696
2019-04-05,-0.0002553753838247386
2019-04-06,-0.00025474435526853497
2019-04-07,-0.0002541133267123319
2019-04-08,-0.0002500757708677615
2019-04-09,-0.0002472694781047211
2019-04-10,-0.00023522532351817453
2019-04-11,-0.000257124046411563
2019-04-12,-0.00027023255051023237
2019-04-13,-0.0002697080986928824
2019-04-14,-0.00026918364687553294
2019-04-15,-0.0002770229996693384
2019-04-16,-0.00029892797068009614
2019-04-17,-0.0003221442911161141
2019-04-18,-0.0003124565836011869
2019-04-19,-0.00031187095944095627
2019-04-20,-0.00031128533528072545
2019-04-21,-0.0003106997111204948
2019-04-22,-0.0003114624464710688
2019-04-23,-0.00029387118380186535
2019-04-24,-0.00030183716009862934
2019-04-25,-0.0003171385297807785
2019-04-26,-0.00031492476578121926
2019-04-27,-0.0003143859342848664
2019-04-28,-0.0003138471027885134
2019-04-29,-0.00034000843549067124
2019-04-30,-0.0003301657904279553
2019-05-01,-0.00030875149668392187
2019-05-02,-0.00031601675431884975
2019-05-03,-0.0003064292028224864
2019-05-04,-0.00030563819292290297
2019-05-05,-0.0003048471830233195
2019-05-06,-0.00018292737012957138
2019-05-07,-0.00012349298783469466
2019-05-08,-0.00011021283865361416
2019-05-09,-9.498463923228803e-05
2019-05-10,-0.00011012367938626479
2019-05-11,-0.00010924454287098432
2019-05-12,-0.00010836540635570188
