Date,UBS - HSBC Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,7.027590213376261e-08
2019-01-04,-2.8154417115232194e-08
2019-01-05,8.644445835051901e-08
2019-01-06,2.0104333381648875e-07
2019-01-07,-5.846049976041324e-06
2019-01-08,-4.849279218187333e-06
2019-01-09,-1.562070998444521e-06
2019-01-10,-2.6467933231335214e-06
2019-01-11,-5.232304389420924e-06
2019-01-12,-5.116706044040569e-06
2019-01-13,-5.00110769866056e-06
2019-01-14,-1.2272271287858636e-05
2019-01-15,-8.208238251653415e-06
2019-01-16,-6.296203034963437e-06
2019-01-17,-6.418807014628569e-06
2019-01-18,8.631243823310797e-07
2019-01-19,1.0722993008952921e-06
2019-01-20,1.2814742194599195e-06
2019-01-21,1.4906491380240963e-06
2019-01-22,6.900256897356111e-06
2019-01-23,7.311079338561912e-06
2019-01-24,4.808092102137898e-06
2019-01-25,8.988024121482206e-06
2019-01-26,9.153181024306541e-06
2019-01-27,9.318337927130663e-06
2019-01-28,8.55294662074171e-06
2019-01-29,1.3317856546514868e-05
2019-01-30,1.0681300059797088e-05
2019-01-31,1.6498421448856733e-05
2019-02-01,1.6974408333343772e-05
2019-02-02,1.7103817867170837e-05
2019-02-03,1.723322740099798e-05
2019-02-04,1.92904114768494e-05
2019-02-05,1.4846415244149615e-05
2019-02-06,1.448745522628181e-05
2019-02-07,2.0132699096569913e-05
2019-02-08,2.2589469512500913e-05
2019-02-09,2.2709684105439078e-05
2019-02-10,2.2829898698377263e-05
2019-02-11,2.2822316928995928e-05
2019-02-12,1.923631081354802e-05
2019-02-13,1.6740580531450594e-05
2019-02-14,2.613864342304616e-05
2019-02-15,1.4499508502858049e-05
2019-02-16,1.4770039452237368e-05
2019-02-17,1.5040570401617071e-05
2019-02-18,1.5311101350996676e-05
2019-02-19,1.2105842867914026e-05
2019-02-20,2.3254401659764535e-05
2019-02-21,3.947472178370966e-05
2019-02-22,4.065881932030284e-05
2019-02-23,4.062084771422731e-05
2019-02-24,4.0582876108152e-05
2019-02-25,4.207600147636891e-05
2019-02-26,4.0928705152104905e-05
2019-02-27,3.87911501470163e-05
2019-02-28,4.003335066720721e-05
2019-03-01,4.08729240593162e-05
2019-03-02,4.08503064473913e-05
2019-03-03,4.082768883546632e-05
2019-03-04,4.035720905185135e-05
2019-03-05,3.838759753075225e-05
2019-03-06,3.972335496051905e-05
2019-03-07,4.362951936475416e-05
2019-03-08,4.397981042545668e-05
2019-03-09,4.393009310150408e-05
2019-03-10,4.388037577755103e-05
2019-03-11,3.944081977085031e-05
2019-03-12,3.80966971518665e-05
2019-03-13,3.5588851995119975e-05
2019-03-14,3.490358941572076e-05
2019-03-15,3.1185020813787075e-05
2019-03-16,3.122783738569712e-05
2019-03-17,3.127065395760746e-05
2019-03-18,2.3695690269053094e-05
2019-03-19,2.4021191981605275e-05
2019-03-20,3.0377819636221366e-05
2019-03-21,3.380826699377566e-05
2019-03-22,4.979454650082275e-05
2019-03-23,4.9682790234273705e-05
2019-03-24,4.957103396772416e-05
2019-03-25,4.8991768405944795e-05
2019-03-26,4.484686625953795e-05
2019-03-27,4.2968341712109095e-05
2019-03-28,4.642445053778178e-05
2019-03-29,4.489177953589047e-05
2019-03-30,4.481905954628031e-05
2019-03-31,4.474633955667059e-05
2019-04-01,1.8037533486942177e-05
2019-04-02,1.1973976272478585e-05
2019-04-03,1.4732314071365195e-06
2019-04-04,1.6910506456791055e-06
2019-04-05,1.274861628564065e-06
2019-04-06,1.4768291065296924e-06
2019-04-07,1.67879658449513e-06
2019-04-08,2.3908902005676208e-06
2019-04-09,2.2306541210089697e-06
2019-04-10,6.199592867739663e-06
2019-04-11,-6.662094383831119e-06
2019-04-12,-1.6564748518309522e-05
2019-04-13,-1.6272322727497513e-05
2019-04-14,-1.5979896936685413e-05
2019-04-15,-1.914046590703742e-05
2019-04-16,-3.179557612617788e-05
2019-04-17,-4.5181406981016115e-05
2019-04-18,-4.117867092237184e-05
2019-04-19,-4.0830710684945416e-05
2019-04-20,-4.048275044751903e-05
2019-04-21,-4.013479021009261e-05
2019-04-22,-3.989313826697729e-05
2019-04-23,-2.8895843308623677e-05
2019-04-24,-3.3379638013166136e-05
2019-04-25,-4.029669278487239e-05
2019-04-26,-3.823133395245424e-05
2019-04-27,-3.790307011371447e-05
2019-04-28,-3.75748062749748e-05
2019-04-29,-5.085272562271306e-05
2019-04-30,-4.228369645311704e-05
2019-05-01,-3.2830866988702384e-05
2019-05-02,-3.808642293429564e-05
2019-05-03,-2.8220947293847755e-05
2019-05-04,-2.7695132224188634e-05
2019-05-05,-2.7169317154528985e-05
2019-05-06,4.781073822094238e-05
2019-05-07,8.596347753804097e-05
2019-05-08,9.011212495858007e-05
2019-05-09,0.00010081964176228776
2019-05-10,9.830965548719044e-05
2019-05-11,9.85249929275481e-05
