Date,UBS - IBKR Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,2.117203138958348e-08
2019-01-04,-3.2082668841934293e-07
2019-01-05,-2.772384529372536e-07
2019-01-06,-2.3365021745478313e-07
2019-01-07,-1.998848513779235e-05
2019-01-08,-1.9281636280063516e-05
2019-01-09,-2.9763714927895404e-05
2019-01-10,-1.9938268633097406e-05
2019-01-11,-2.7317091920679367e-05
2019-01-12,-2.7880903420361934e-05
2019-01-13,-2.8444714920044132e-05
2019-01-14,-2.8509829837920606e-05
2019-01-15,-2.054341440732712e-05
2019-01-16,2.4345424834430315e-06
2019-01-17,2.4941605934241368e-05
2019-01-18,5.637456529412722e-05
2019-01-19,5.6066374908726495e-05
2019-01-20,5.57581845233257e-05
2019-01-21,5.5449994137924336e-05
2019-01-22,4.017814592196958e-06
2019-01-23,-5.081822778954168e-06
2019-01-24,-1.1895028428318822e-05
2019-01-25,1.7530117657829771e-06
2019-01-26,1.0960777288392454e-06
2019-01-27,4.391436918955611e-07
2019-01-28,-1.2335622737559798e-05
2019-01-29,-5.702431132261396e-06
2019-01-30,5.352249856573195e-06
2019-01-31,-2.0211791748404733e-05
2019-02-01,-3.555300951836151e-05
2019-02-02,-3.624230133442952e-05
2019-02-03,-3.693159315049767e-05
2019-02-04,-3.971652358627497e-05
2019-02-05,-1.8001405203187877e-05
2019-02-06,-2.2731166113041206e-05
2019-02-07,-4.683445108913182e-05
2019-02-08,-5.660969346151503e-05
2019-02-09,-5.707473997170296e-05
2019-02-10,-5.7539786481890335e-05
2019-02-11,-5.830658192320174e-05
2019-02-12,-4.87853445004099e-05
2019-02-13,-4.040397708390132e-05
2019-02-14,-4.754539353382355e-05
2019-02-15,-4.043412893124555e-05
2019-02-16,-4.063344484121537e-05
2019-02-17,-4.083276075118509e-05
2019-02-18,-4.103207666115482e-05
2019-02-19,-3.562086790963167e-05
2019-02-20,-2.900757800017431e-05
2019-02-21,-3.79256491746731e-05
2019-02-22,-4.7840625646401565e-05
2019-02-23,-4.729787579677166e-05
2019-02-24,-4.6755125947141715e-05
2019-02-25,-6.6175823872599e-05
2019-02-26,-6.437880044207635e-05
2019-02-27,-6.433099188452237e-05
2019-02-28,-6.308932450899718e-05
2019-03-01,-6.551047991740894e-05
2019-03-02,-6.525648714194659e-05
2019-03-03,-6.50024943664842e-05
2019-03-04,-5.755148214856988e-05
2019-03-05,-5.129882510079528e-05
2019-03-06,-5.477336153442517e-05
2019-03-07,-5.720429597497045e-05
2019-03-08,-1.7760662663579364e-05
2019-03-09,-1.7607294139890304e-05
2019-03-10,-1.7453925616200945e-05
2019-03-11,-5.251644256820801e-05
2019-03-12,-5.9556735628570723e-05
2019-03-13,-5.644682836875104e-05
2019-03-14,-6.211770020615193e-05
2019-03-15,-5.880524601130363e-05
2019-03-16,-5.850589579466415e-05
2019-03-17,-5.820654557802421e-05
2019-03-18,-7.059976076673338e-05
2019-03-19,-6.0524133511783665e-05
2019-03-20,-5.264985027095597e-05
2019-03-21,-3.079165775085813e-05
2019-03-22,-3.4320287951346574e-05
2019-03-23,-3.441687989223781e-05
2019-03-24,-3.4513471833129804e-05
2019-03-25,-2.8318716367684443e-05
2019-03-26,-4.644204350464558e-05
2019-03-27,-3.6831680002435295e-05
2019-03-28,-7.145696037326137e-05
2019-03-29,-6.27541756766339e-05
2019-03-30,-6.27150557900905e-05
2019-03-31,-6.26759359035471e-05
2019-04-01,-8.779242364496908e-05
2019-04-02,-9.738091939705939e-05
2019-04-03,-6.700919962845241e-05
2019-04-04,-7.656065697913891e-05
2019-04-05,-7.871561078033455e-05
2019-04-06,-7.863780084977395e-05
2019-04-07,-7.855999091921333e-05
2019-04-08,-8.117336046717204e-05
2019-04-09,-7.415423402393922e-05
2019-04-10,-7.061711229062122e-05
2019-04-11,-5.6888667446041695e-05
2019-04-12,-6.063128398027222e-05
2019-04-13,-6.064326312290765e-05
2019-04-14,-6.065524226554281e-05
2019-04-15,-6.083526448730982e-05
2019-04-16,-6.147414970948289e-05
2019-04-17,-6.428497332747437e-05
2019-04-18,-6.149916467201134e-05
2019-04-19,-6.160697538215514e-05
2019-04-20,-6.17147860922989e-05
2019-04-21,-6.182259680244278e-05
2019-04-22,-6.205252025729592e-05
2019-04-23,-6.295634536609377e-05
2019-04-24,-6.202715360058206e-05
2019-04-25,-5.8469978482142064e-05
2019-04-26,-6.0690940416185717e-05
2019-04-27,-6.091116040150398e-05
2019-04-28,-6.113138038682213e-05
2019-04-29,-5.2596269638009236e-05
2019-04-30,-5.870886498938758e-05
2019-05-01,-5.5624904044684574e-05
2019-05-02,-5.358986087952502e-05
2019-05-03,-4.836097191760152e-05
2019-05-04,-4.8251685375114e-05
2019-05-05,-4.8142398832626444e-05
2019-05-06,-1.3822621836683454e-05
2019-05-07,4.226309379171479e-05
