Date,UBS - JPM Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,1.1149950472943864e-07
2019-01-04,5.358979359594019e-06
2019-01-05,5.3840088384098146e-06
2019-01-06,5.409038317226022e-06
2019-01-07,3.4859405742391335e-06
2019-01-08,1.9929106594825816e-06
2019-01-09,1.6404427554064646e-06
2019-01-10,-1.5196683075196085e-07
2019-01-11,-4.325725580510227e-06
2019-01-12,-4.4287888928577765e-06
2019-01-13,-4.531852205206019e-06
2019-01-14,2.5988036424357102e-06
2019-01-15,9.39171327112254e-06
2019-01-16,7.1648947279408e-06
2019-01-17,1.377610251185583e-05
2019-01-18,2.6745913097160472e-05
2019-01-19,2.6853503520381987e-05
2019-01-20,2.69610939436035e-05
2019-01-21,2.7068684366823905e-05
2019-01-22,4.8648767497305394e-05
2019-01-23,4.325475658563822e-05
2019-01-24,4.289958692659005e-05
2019-01-25,4.5194736512721425e-05
2019-01-26,4.533718121593387e-05
2019-01-27,4.5479625919146296e-05
2019-01-28,5.0978472543477166e-05
2019-01-29,5.402393661927199e-05
2019-01-30,4.4731660081677566e-05
2019-01-31,5.3075256758287336e-05
2019-02-01,5.87425474667141e-05
2019-02-02,5.896819890181434e-05
2019-02-03,5.919385033691457e-05
2019-02-04,6.220203935009805e-05
2019-02-05,5.127012392065989e-05
2019-02-06,5.274703725213552e-05
2019-02-07,5.919131257508836e-05
2019-02-08,6.173775233158589e-05
2019-02-09,6.184353263499733e-05
2019-02-10,6.194931293840876e-05
2019-02-11,6.231586828117659e-05
2019-02-12,5.946457703978711e-05
2019-02-13,5.701666581362042e-05
2019-02-14,6.498545570842514e-05
2019-02-15,5.334744054105821e-05
2019-02-16,5.366105614790558e-05
2019-02-17,5.397467175475336e-05
2019-02-18,5.428828736160111e-05
2019-02-19,5.592194541376419e-05
2019-02-20,8.684993626222661e-05
2019-02-21,9.768698896126774e-05
2019-02-22,0.0001002828289972295
2019-02-23,0.00010070268935755925
2019-02-24,0.00010112254971788956
2019-02-25,8.729426118818482e-05
2019-02-26,8.009219800467545e-05
2019-02-27,7.823018450738737e-05
2019-02-28,7.920439428210414e-05
2019-03-01,7.72585322718607e-05
2019-03-02,7.755586049716401e-05
2019-03-03,7.785318872246736e-05
2019-03-04,8.280933125467687e-05
2019-03-05,9.032267271864116e-05
2019-03-06,9.891022933284201e-05
2019-03-07,0.00011982612891536044
2019-03-08,0.00012254083287550544
2019-03-09,0.0001229321708811074
2019-03-10,0.00012332350888670938
2019-03-11,0.0001009526734563468
2019-03-12,0.00010406048095474546
2019-03-13,9.424513506574304e-05
2019-03-14,8.513541486430281e-05
2019-03-15,7.913052633272623e-05
2019-03-16,7.967401459386444e-05
2019-03-17,8.021750285500261e-05
2019-03-18,5.3327700705060394e-05
2019-03-19,5.079789681318129e-05
2019-03-20,8.180995846404963e-05
2019-03-21,9.953227259500447e-05
2019-03-22,0.00013969114791342007
2019-03-23,0.00013988153811382784
2019-03-24,0.00014007192831423562
2019-03-25,0.00015211873053371785
2019-03-26,0.00013895612984234792
2019-03-27,0.00014519539071343712
2019-03-28,0.00013026103870165872
2019-03-29,0.00012374252603262418
2019-03-30,0.00012397417249103865
2019-03-31,0.0001242058189494531
2019-04-01,8.34583980810084e-05
2019-04-02,7.952615287666292e-05
2019-04-03,7.167519523702633e-05
2019-04-04,6.733869239000714e-05
2019-04-05,7.08768423126863e-05
2019-04-06,7.126467227242143e-05
2019-04-07,7.165250223215601e-05
2019-04-08,7.171521863169707e-05
2019-04-09,7.771613432415754e-05
2019-04-10,7.751303406306705e-05
2019-04-11,5.753141443148297e-05
2019-04-12,2.9288043736592068e-05
2019-04-13,2.9971726105208954e-05
2019-04-14,3.065540847382583e-05
2019-04-15,2.5930392868029237e-05
2019-04-16,2.776293781607177e-06
2019-04-17,-2.0318269046371327e-05
2019-04-18,-1.101899425001877e-05
2019-04-19,-1.0293872340442311e-05
2019-04-20,-9.568750430865784e-06
2019-04-21,-8.843628521289318e-06
2019-04-22,-7.87873558554384e-06
2019-04-23,1.809123184106232e-05
2019-04-24,7.01472735130705e-06
2019-04-25,-1.110812495155895e-05
2019-04-26,-7.282974787641247e-06
2019-04-27,-6.505513090483776e-06
2019-04-28,-5.728051393326372e-06
2019-04-29,-3.8957382849559225e-05
2019-04-30,-2.3165455363303318e-05
2019-05-01,2.116262230469779e-06
2019-05-02,-1.279402875138252e-05
2019-05-03,-2.1665099315077175e-06
2019-05-04,-1.302646085824132e-06
2019-05-05,-4.3878224013963157e-07
2019-05-06,0.00013374474537982753
2019-05-07,0.00020627184865146567
2019-05-08,0.00020655922280830128
2019-05-09,0.00022988979637579262
2019-05-10,0.00022952529705510578
2019-05-11,0.0002304547715967528
2019-05-12,0.00023138424613839982
2019-05-13,0.00032095293598468483
2019-05-14,0.0003043892957282457
2019-05-15,0.00031488105595735635
