Date,UBS - MBFJF Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,-5.1393402339656895e-08
2019-01-04,2.8579142625061477e-07
2019-01-05,1.9428911546507905e-07
2019-01-06,1.0278680467944065e-07
2019-01-07,2.1303140902243586e-07
2019-01-08,1.367034443132215e-07
2019-01-09,-9.080575007435678e-08
2019-01-10,1.2472296276526062e-07
2019-01-11,7.311025699664385e-05
2019-01-12,7.364696865794276e-05
2019-01-13,7.418368031924112e-05
2019-01-14,7.537581591132277e-05
2019-01-15,8.222786491898917e-05
2019-01-16,3.358294997662064e-05
2019-01-17,4.1722069598798057e-05
2019-01-18,-1.5697883757475088e-05
2019-01-19,-1.5424896666713095e-05
2019-01-20,-1.5151909575951475e-05
2019-01-21,-1.4878922485189557e-05
2019-01-22,5.7698381106503135e-05
2019-01-23,4.608333897913828e-05
2019-01-24,4.666663993460674e-05
2019-01-25,4.3700380265432395e-05
2019-01-26,4.415657649241704e-05
2019-01-27,4.461277271940177e-05
2019-01-28,5.1884970309671654e-05
2019-01-29,5.577009903985828e-05
2019-01-30,3.484335537461706e-05
2019-01-31,6.229248200953573e-05
2019-02-01,7.302679447070248e-05
2019-02-02,7.355393950831849e-05
2019-02-03,7.40810845459345e-05
2019-02-04,7.728268220889685e-05
2019-02-05,5.8659489507333683e-05
2019-02-06,6.206793512016193e-05
2019-02-07,8.455627411798506e-05
2019-02-08,9.415960444005534e-05
2019-02-09,9.468574147771754e-05
2019-02-10,9.521187851537969e-05
2019-02-11,9.473257751437816e-05
2019-02-12,8.229730704148404e-05
2019-02-13,7.391313395768213e-05
2019-02-14,9.707814359943144e-05
2019-02-15,7.106942221088205e-05
2019-02-16,7.151116572838798e-05
2019-02-17,7.195290924589448e-05
2019-02-18,7.239465276340099e-05
2019-02-19,7.572009623435728e-05
2019-02-20,0.00012110124181238189
2019-02-21,0.00013465401263048867
2019-02-22,0.00013429401614720152
2019-02-23,0.0001349290201771702
2019-02-24,0.00013556402420713875
2019-02-25,0.0001243990436044844
2019-02-26,0.00011045203056830795
2019-02-27,0.00010716403864337114
2019-02-28,0.0001086127301410098
2019-03-01,0.00010588195173527959
2019-03-02,0.00010632223218976915
2019-03-03,0.00010676251264425874
2019-03-04,0.00011350435628430366
2019-03-05,0.00012504967498335668
2019-03-06,0.00013591809375826497
2019-03-07,0.00016479360162821143
2019-03-08,0.00017202378589395879
2019-03-09,0.00017271774090389696
2019-03-10,0.00017341169591383548
2019-03-11,0.0001603813520223528
2019-03-12,0.00013811510329067383
2019-03-13,0.00012384552282263905
2019-03-14,0.00012137962499313559
2019-03-15,0.0001274007394242605
2019-03-16,0.00012813218912330988
2019-03-17,0.00012886363882235927
2019-03-18,0.0001004284774835723
2019-03-19,9.619308992297432e-05
2019-03-20,0.00012285964770441783
2019-03-21,0.00013134897363911867
2019-03-22,0.0001677502520668125
2019-03-23,0.00016856776978407145
2019-03-24,0.0001693852875013308
2019-03-25,0.00017319637602970095
2019-03-26,0.00016707435162872662
2019-03-27,0.0001580542400962953
2019-03-28,0.00016175346405995314
2019-03-29,0.00015090308160950786
2019-03-30,0.00015164379445420316
2019-03-31,0.00015238450729889797
2019-04-01,0.0001257705023875744
2019-04-02,0.00012548783940657406
2019-04-03,0.00011508402336568346
2019-04-04,0.00011022366212940334
2019-04-05,0.00011999223086136927
2019-04-06,0.00012051070932451244
2019-04-07,0.00012102918778765581
2019-04-08,0.00012378446577411426
2019-04-09,0.0001250561149276729
2019-04-10,0.00012929823402406718
2019-04-11,0.00012214854801386244
2019-04-12,0.00011555059375721366
2019-04-13,0.0001158853417786669
2019-04-14,0.00011622008980012013
2019-04-15,0.00011289435908190674
2019-04-16,0.00010291862731931975
2019-04-17,9.259797942403236e-05
2019-04-18,9.627016201341454e-05
2019-04-19,9.647910716095357e-05
2019-04-20,9.668805230849265e-05
2019-04-21,9.689699745603167e-05
2019-04-22,9.710594260357072e-05
2019-04-23,0.0001034001312539313
2019-04-24,0.00010089597759057479
2019-04-25,9.676199104794543e-05
2019-04-26,9.72067981951e-05
2019-04-27,9.73289348057265e-05
2019-04-28,9.745107141635304e-05
2019-04-29,8.56258540500277e-05
2019-04-30,8.793477051992517e-05
2019-05-01,8.901258409088194e-05
2019-05-02,8.686578527389891e-05
2019-05-03,8.648904115989838e-05
2019-05-04,8.640931200725512e-05
2019-05-05,8.632958285461179e-05
2019-05-06,8.105292135535149e-05
2019-05-07,7.870460882533537e-05
2019-05-08,8.556936741032454e-05
2019-05-09,8.356860174677991e-05
2019-05-10,0.00011911427823266672
2019-05-11,0.00011921785671892629
2019-05-12,0.00011932143520518548
2019-05-13,0.00010215093306231276
2019-05-14,0.00010340500567540771
2019-05-15,0.00010257226049659601
2019-05-16,0.0002011765403082534
2019-05-17,0.00019755401679413833
2019-05-18,0.0001974129351583991
