Date,UBS - MS Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,-1.0164458281489594e-08
2019-01-04,1.9827178342402937e-06
2019-01-05,1.9087301201450248e-06
2019-01-06,1.8347424060498846e-06
2019-01-07,1.9719945806551124e-06
2019-01-08,-1.7635513255228064e-06
2019-01-09,2.214940866432508e-06
2019-01-10,-2.890882633922407e-06
2019-01-11,-4.195628217166927e-06
2019-01-12,-4.4360412277532835e-06
2019-01-13,-4.6764542383396325e-06
2019-01-14,3.924317365540857e-06
2019-01-15,1.216194361922098e-05
2019-01-16,1.9020258343191472e-05
2019-01-17,-2.119077299759814e-05
2019-01-18,-1.6295683076170313e-06
2019-01-19,-1.8916897119880255e-06
2019-01-20,-2.1538111163590366e-06
2019-01-21,-2.4159325207300173e-06
2019-01-22,1.3757933785659623e-05
2019-01-23,7.537080278681024e-06
2019-01-24,5.7864309509195475e-06
2019-01-25,1.4577819872070152e-05
2019-01-26,1.4553877534314724e-05
2019-01-27,1.4529935196559273e-05
2019-01-28,1.393959151870499e-05
2019-01-29,1.3672218110865185e-05
2019-01-30,9.276906614414771e-06
2019-01-31,1.3135574745671837e-05
2019-02-01,1.2565744722184893e-05
2019-02-02,1.2541642349482193e-05
2019-02-03,1.2517539976779496e-05
2019-02-04,1.5739645088194514e-05
2019-02-05,9.761125506619681e-06
2019-02-06,1.010438542826886e-05
2019-02-07,1.0188038239307287e-05
2019-02-08,9.932748323147188e-06
2019-02-09,9.900258672181063e-06
2019-02-10,9.86776902121506e-06
2019-02-11,1.11496343314454e-05
2019-02-12,1.364458919290831e-05
2019-02-13,1.4343560607761407e-05
2019-02-14,1.062702570896247e-05
2019-02-15,1.3153526204132968e-05
2019-02-16,1.3098607874365063e-05
2019-02-17,1.3043689544597247e-05
2019-02-18,1.298877121482943e-05
2019-02-19,1.3950088247433829e-05
2019-02-20,2.1332846621456668e-05
2019-02-21,2.8549396648130032e-05
2019-02-22,3.101227037995007e-05
2019-02-23,3.1347394967463544e-05
2019-02-24,3.1682519554976786e-05
2019-02-25,2.673854190965429e-05
2019-02-26,2.3249020094317974e-05
2019-02-27,2.1965271892264695e-05
2019-02-28,2.4636612241878247e-05
2019-03-01,2.22978022061261e-05
2019-03-02,2.247205016561687e-05
2019-03-03,2.2646298125107656e-05
2019-03-04,2.594318772502272e-05
2019-03-05,2.688090349456028e-05
2019-03-06,2.965499123054918e-05
2019-03-07,3.2421286128004584e-05
2019-03-08,2.639795819295532e-05
2019-03-09,2.6967051720564868e-05
2019-03-10,2.7536145248174306e-05
2019-03-11,1.87750424851485e-05
2019-03-12,1.5490146642220897e-05
2019-03-13,8.453853849969524e-06
2019-03-14,3.882126170133112e-06
2019-03-15,-5.554246014914239e-06
2019-03-16,-4.939196527334975e-06
2019-03-17,-4.324147039755698e-06
2019-03-18,-2.4083415164736817e-05
2019-03-19,-2.5408111164829693e-05
2019-03-20,-5.705974190639318e-06
2019-03-21,-5.384801205447434e-06
2019-03-22,2.8948053820410268e-05
2019-03-23,2.9601939875321217e-05
2019-03-24,3.0255825930232173e-05
2019-03-25,4.4274749747687345e-05
2019-03-26,2.8008997511697524e-05
2019-03-27,4.515893637111235e-05
2019-03-28,3.0054511047166405e-05
2019-03-29,2.5571559973394656e-05
2019-03-30,2.6123853658391243e-05
2019-03-31,2.667614734338783e-05
2019-04-01,-3.345605689435323e-07
2019-04-02,-2.6658789555419784e-06
2019-04-03,-1.5586347245172987e-05
2019-04-04,-2.4229241777941392e-05
2019-04-05,-2.166960440161144e-05
2019-04-06,-2.1085289865021856e-05
2019-04-07,-2.050097532843207e-05
2019-04-08,-1.9259227208412457e-05
2019-04-09,-8.97204606606128e-06
2019-04-10,-9.151328289955382e-06
2019-04-11,-2.350307459558559e-05
2019-04-12,-4.4403210058651003e-05
2019-04-13,-4.379722864815583e-05
2019-04-14,-4.3191247237661266e-05
2019-04-15,-4.570333062737183e-05
2019-04-16,-6.348588758258137e-05
2019-04-17,-8.167091564034506e-05
2019-04-18,-7.66230010590041e-05
2019-04-19,-7.618614252499993e-05
2019-04-20,-7.57492839909959e-05
2019-04-21,-7.531242545699174e-05
2019-04-22,-7.577287843342484e-05
2019-04-23,-5.87593106804019e-05
2019-04-24,-6.605788905476267e-05
2019-04-25,-7.826249094655736e-05
2019-04-26,-7.462653706439824e-05
2019-04-27,-7.416931352518913e-05
2019-04-28,-7.371208998598004e-05
2019-04-29,-9.642903506927753e-05
2019-04-30,-8.742329406437407e-05
2019-05-01,-7.353002686706526e-05
2019-05-02,-8.20374472269246e-05
2019-05-03,-7.543301254788211e-05
2019-05-04,-7.498191089306741e-05
2019-05-05,-7.45308092382527e-05
2019-05-06,7.337475660007165e-06
2019-05-07,5.785820303269649e-05
2019-05-08,5.913209227082629e-05
2019-05-09,7.300867417234791e-05
