Date,UBS - PNC Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,-5.04343179540246e-09
2019-01-04,-2.1401496975886826e-06
2019-01-05,-2.0862166403833093e-06
2019-01-06,-2.032283583177822e-06
2019-01-07,-5.162136108954156e-06
2019-01-08,-5.025356312596054e-06
2019-01-09,-5.462200099786949e-06
2019-01-10,-1.1539924802870384e-05
2019-01-11,-9.961230777732375e-06
2019-01-12,-1.0017054898081163e-05
2019-01-13,-1.0072879018430526e-05
2019-01-14,-8.367285763043477e-06
2019-01-15,-4.815100956979268e-06
2019-01-16,-9.705503586078444e-06
2019-01-17,-3.747783804830996e-06
2019-01-18,1.7214989076747196e-05
2019-01-19,1.7308377360220902e-05
2019-01-20,1.740176564369459e-05
2019-01-21,1.749515392716828e-05
2019-01-22,4.532728654478075e-05
2019-01-23,4.01546732737554e-05
2019-01-24,3.7579416795511814e-05
2019-01-25,4.028753495050368e-05
2019-01-26,4.0452939979791837e-05
2019-01-27,4.061834500907959e-05
2019-01-28,4.338339354969274e-05
2019-01-29,4.3349186834085835e-05
2019-01-30,3.394306819266827e-05
2019-01-31,3.839490312069248e-05
2019-02-01,4.109333738189065e-05
2019-02-02,4.120621386716547e-05
2019-02-03,4.1319090352440294e-05
2019-02-04,4.49976008564875e-05
2019-02-05,3.5554835369079255e-05
2019-02-06,3.5522435362496125e-05
2019-02-07,4.183047683420994e-05
2019-02-08,4.401650819115481e-05
2019-02-09,4.409903703018583e-05
2019-02-10,4.418156586921685e-05
2019-02-11,4.392656150475742e-05
2019-02-12,4.099757576027884e-05
2019-02-13,3.763760827919854e-05
2019-02-14,4.015841100282429e-05
2019-02-15,3.540548554987107e-05
2019-02-16,3.556448639711007e-05
2019-02-17,3.572348724434928e-05
2019-02-18,3.588248809158849e-05
2019-02-19,3.81900973975086e-05
2019-02-20,6.011877962976402e-05
2019-02-21,7.255319075063711e-05
2019-02-22,7.546101310186161e-05
2019-02-23,7.572839098222575e-05
2019-02-24,7.59957688625899e-05
2019-02-25,7.36917346644924e-05
2019-02-26,7.052096952204259e-05
2019-02-27,6.4953103532655e-05
2019-02-28,6.379394181134025e-05
2019-03-01,6.119731014809752e-05
2019-03-02,6.15011531290157e-05
2019-03-03,6.180499610993377e-05
2019-03-04,6.689875561996094e-05
2019-03-05,7.187594760386817e-05
2019-03-06,8.205506195671793e-05
2019-03-07,0.00011105366524108398
2019-03-08,0.00011049136922352932
2019-03-09,0.0001109407647955618
2019-03-10,0.00011139016036759429
2019-03-11,8.706347649618144e-05
2019-03-12,9.241267254662991e-05
2019-03-13,7.575753943377498e-05
2019-03-14,7.041124671712591e-05
2019-03-15,7.360881526012223e-05
2019-03-16,7.413100719019637e-05
2019-03-17,7.465319912026982e-05
2019-03-18,4.1097021827327844e-05
2019-03-19,4.393094046739876e-05
2019-03-20,7.572963515515373e-05
2019-03-21,9.302838050156358e-05
2019-03-22,0.0001241326105982003
2019-03-23,0.00012427207452858058
2019-03-24,0.00012441153845896085
2019-03-25,0.0001241891221687141
2019-03-26,0.00010261838224966466
2019-03-27,0.00010374294494023725
2019-03-28,9.094449150695794e-05
2019-03-29,9.045081448450743e-05
2019-03-30,9.0697431668006e-05
2019-03-31,9.094404885150528e-05
2019-04-01,5.407872971500318e-05
2019-04-02,5.465418576951203e-05
2019-04-03,4.8507621429111635e-05
2019-04-04,3.940363688328693e-05
2019-04-05,4.351891988462419e-05
2019-04-06,4.390233613018369e-05
2019-04-07,4.428575237574318e-05
2019-04-08,4.522020931373142e-05
2019-04-09,5.220890404427063e-05
2019-04-10,5.3017819051973255e-05
2019-04-11,3.3017845442375856e-05
2019-04-12,1.4448639386018958e-05
2019-04-13,1.49726723954933e-05
2019-04-14,1.549670540496765e-05
2019-04-15,1.2151352077271647e-05
2019-04-16,-6.237198498985947e-06
2019-04-17,-2.568483726060142e-05
2019-04-18,-1.9390380691364397e-05
2019-04-19,-1.891765781422477e-05
2019-04-20,-1.8444934937084957e-05
2019-04-21,-1.7972212059945186e-05
2019-04-22,-1.6699629418557585e-05
2019-04-23,1.2857653836710118e-06
2019-04-24,-6.434738893934807e-06
2019-04-25,-1.916178291794368e-05
2019-04-26,-1.528739620039144e-05
2019-04-27,-1.470732317027983e-05
2019-04-28,-1.4127250140168272e-05
2019-04-29,-3.995516122114423e-05
2019-04-30,-2.880725942172877e-05
2019-05-01,-1.2557986869401087e-05
2019-05-02,-2.2150249689510858e-05
2019-05-03,-1.412982540955261e-05
2019-05-04,-1.3517908614227985e-05
2019-05-05,-1.290599181890258e-05
2019-05-06,8.273582080961454e-05
2019-05-07,0.0001412684871212275
2019-05-08,0.00014432343024754874
2019-05-09,0.0001588667709809996
2019-05-10,0.00015431918504726547
2019-05-11,0.00015496250031583444
2019-05-12,0.00015560581558440336
2019-05-13,0.00022332483977154327
