Date,UBS - UNCRY Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,1.517491849615039e-08
2019-01-04,-4.876279057419995e-06
2019-01-05,-4.710219234918365e-06
2019-01-06,-4.544159412416498e-06
2019-01-07,-2.485104230776783e-06
2019-01-08,-1.0919308613833797e-05
2019-01-09,-3.946555334121234e-06
2019-01-10,-7.361347802794859e-06
2019-01-11,-1.2983063646524246e-05
2019-01-12,-1.2696552624239643e-05
2019-01-13,-1.241004160195543e-05
2019-01-14,-2.6752006766415916e-05
2019-01-15,-4.461794310479951e-05
2019-01-16,-2.569372598714482e-05
2019-01-17,-2.1361603186930106e-05
2019-01-18,-3.130069444516154e-05
2019-01-19,-3.10975319002833e-05
2019-01-20,-3.08943693554051e-05
2019-01-21,-3.069120681052686e-05
2019-01-22,-7.038195200844661e-06
2019-01-23,-7.452434984154298e-06
2019-01-24,-7.87746353958187e-06
2019-01-25,3.919010551858347e-06
2019-01-26,4.33713886183755e-06
2019-01-27,4.7552671718166995e-06
2019-01-28,5.127292322196885e-06
2019-01-29,2.998726360746196e-06
2019-01-30,-9.435565874230878e-06
2019-01-31,-1.3220297149718418e-05
2019-02-01,-1.565545460215343e-05
2019-02-02,-1.564054988318569e-05
2019-02-03,-1.5625645164217972e-05
2019-02-04,-1.6936160349562484e-05
2019-02-05,-1.5627620068725005e-05
2019-02-06,-4.231721963136881e-06
2019-02-07,1.9548495852370838e-06
2019-02-08,4.9215556355495835e-06
2019-02-09,5.0998802956858395e-06
2019-02-10,5.278204955822082e-06
2019-02-11,4.816460188458699e-06
2019-02-12,-1.7877296905476447e-06
2019-02-13,-6.783528895166804e-06
2019-02-14,9.394091390941952e-06
2019-02-15,-1.1144104459028376e-05
2019-02-16,-1.0639730097318876e-05
2019-02-17,-1.013535573560874e-05
2019-02-18,-9.630981373898637e-06
2019-02-19,-2.857605872476731e-06
2019-02-20,5.5765165683550395e-05
2019-02-21,8.343873856216559e-05
2019-02-22,8.104723398896099e-05
2019-02-23,8.163521554901078e-05
2019-02-24,8.222319710906058e-05
2019-02-25,6.0671884992477815e-05
2019-02-26,3.98530583267761e-05
2019-02-27,3.148288959037877e-05
2019-02-28,2.636335156891102e-05
2019-03-01,1.9965262935325527e-05
2019-03-02,2.082342003272491e-05
2019-03-03,2.1681577130124376e-05
2019-03-04,3.787667304421039e-05
2019-03-05,6.137087535733267e-05
2019-03-06,8.287385203455497e-05
2019-03-07,0.00015527821145200417
2019-03-08,0.00017330485826036566
2019-03-09,0.00017395202207519934
2019-03-10,0.00017459918589003302
2019-03-11,0.00013754351306068948
2019-03-12,0.00013812110549924497
2019-03-13,0.00010935309260397456
2019-03-14,0.00010003615901678906
2019-03-15,0.00010765354326834793
2019-03-16,0.00010847332371126326
2019-03-17,0.00010929310415417857
2019-03-18,4.989353817469638e-05
2019-03-19,3.850572698380474e-05
2019-03-20,8.100424767820126e-05
2019-03-21,0.00011011806588622297
2019-03-22,0.00020141354950594875
2019-03-23,0.00020217767754277267
2019-03-24,0.00020294180557959657
2019-03-25,0.00021033682376614472
2019-03-26,0.0002180874645915789
2019-03-27,0.0001803966695663185
2019-03-28,0.00020517822466042357
2019-03-29,0.00018669811361862222
2019-03-30,0.00018739754250365697
2019-03-31,0.00018809697138869112
2019-04-01,0.00012201177247507115
2019-04-02,0.00012096393820409811
2019-04-03,9.287168295572806e-05
2019-04-04,8.982239331433803e-05
2019-04-05,9.608913881766454e-05
2019-04-06,9.692220939567576e-05
2019-04-07,9.775527997368706e-05
2019-04-08,0.00010584834366131545
2019-04-09,0.00010714798923967307
2019-04-10,0.00011939549482889623
2019-04-11,8.20601479847604e-05
2019-04-12,5.248485886657402e-05
2019-04-13,5.3418981824504845e-05
2019-04-14,5.4353104782435644e-05
2019-04-15,4.21575571829743e-05
2019-04-16,2.595408102615786e-06
2019-04-17,-3.914265979105223e-05
2019-04-18,-2.7877103567261366e-05
2019-04-19,-2.6877439261475603e-05
2019-04-20,-2.5877774955689745e-05
2019-04-21,-2.487811064990398e-05
2019-04-22,-2.5545469494271558e-05
2019-04-23,3.583029066348906e-06
2019-04-24,-7.999750838515754e-06
2019-04-25,-2.5701326094663306e-05
2019-04-26,-2.2734669444468355e-05
2019-04-27,-2.202653955867535e-05
2019-04-28,-2.131840967288241e-05
2019-04-29,-5.050176193943528e-05
2019-04-30,-3.36179061707621e-05
2019-05-01,-6.0550637261643555e-06
2019-05-02,-2.2836538246148982e-05
2019-05-03,-1.4921113196926498e-05
2019-05-04,-1.4134233560119308e-05
2019-05-05,-1.3347353923311292e-05
2019-05-06,0.00010482753345903512
2019-05-07,0.00017571539316091518
2019-05-08,0.00016653862452738037
2019-05-09,0.00018785562191882534
2019-05-10,0.00017466831197966931
2019-05-11,0.00017533933498526064
2019-05-12,0.00017601035799085196
2019-05-13,0.0002547513665659504
